aircraft,airline_name,cabin_staff_service,country,date,food_&_beverages,ground_service,inflight_entertainment,rating,recommended,seat_comfort,seat_type,type_of_traveller,value_for_money,verified_trip,wifi_&_connectivity
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-02-11,4.0,-1.0,5.0,9,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-12,5.0,-1.0,4.0,9,True,4.0,Business Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-13,5.0,-1.0,5.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-14,4.0,-1.0,3.0,6,True,2.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-14,5.0,-1.0,4.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-02-17,2.0,-1.0,2.0,3,False,3.0,Business Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-02-18,3.0,-1.0,3.0,8,True,3.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-18,4.0,-1.0,5.0,9,True,4.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-20,5.0,-1.0,5.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-20,4.0,-1.0,5.0,8,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-02-21,4.0,-1.0,4.0,6,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-24,5.0,-1.0,1.0,9,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-25,5.0,-1.0,5.0,9,True,4.0,Business Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-25,5.0,-1.0,1.0,7,True,5.0,First Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-25,5.0,-1.0,1.0,7,True,5.0,First Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,2.0,Germany,2014-02-25,3.0,-1.0,4.0,6,False,3.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-26,5.0,-1.0,5.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-02-28,5.0,-1.0,4.0,9,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-03-03,2.0,-1.0,1.0,7,False,1.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-03-03,2.0,-1.0,1.0,7,False,1.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-03,3.0,-1.0,2.0,3,False,2.0,Business Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-03,3.0,-1.0,2.0,3,False,2.0,Business Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-04,4.0,-1.0,4.0,7,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-04,4.0,-1.0,4.0,7,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-04,4.0,-1.0,4.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-04,4.0,-1.0,4.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-04,4.0,-1.0,4.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-05,5.0,-1.0,5.0,10,True,3.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-06,2.0,-1.0,1.0,7,True,3.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-07,5.0,-1.0,5.0,10,True,5.0,Business Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-07,5.0,-1.0,5.0,9,True,4.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,1.0,Germany,2014-03-07,1.0,-1.0,3.0,2,False,2.0,Economy Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-10,4.0,-1.0,1.0,9,True,4.0,Business Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-10,1.0,-1.0,2.0,3,False,2.0,Business Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-10,4.0,-1.0,3.0,8,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-11,5.0,-1.0,1.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-11,4.0,-1.0,5.0,10,True,3.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-11,4.0,-1.0,5.0,10,True,3.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-03-11,3.0,-1.0,4.0,9,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-13,5.0,-1.0,4.0,9,True,4.0,First Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-17,3.0,-1.0,5.0,8,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-17,3.0,-1.0,5.0,8,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-17,4.0,-1.0,5.0,10,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-17,4.0,-1.0,5.0,10,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-17,5.0,-1.0,5.0,5,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-18,4.0,-1.0,4.0,7,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-18,4.0,-1.0,4.0,7,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-18,3.0,-1.0,5.0,9,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-18,4.0,-1.0,4.0,8,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-21,4.0,-1.0,-1.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-21,3.0,-1.0,1.0,7,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-21,3.0,-1.0,1.0,7,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-21,1.0,-1.0,2.0,4,True,2.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-21,4.0,-1.0,5.0,8,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-21,3.0,-1.0,4.0,8,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-22,3.0,-1.0,2.0,4,True,2.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-22,3.0,-1.0,2.0,4,True,2.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-24,4.0,-1.0,4.0,2,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-24,5.0,-1.0,3.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-24,3.0,-1.0,4.0,8,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-24,3.0,-1.0,4.0,7,True,2.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-24,3.0,-1.0,4.0,7,True,2.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,2.0,Germany,2014-03-26,2.0,-1.0,3.0,6,True,-1.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,1.0,Germany,2014-03-26,1.0,-1.0,1.0,1,False,2.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-03-27,3.0,-1.0,5.0,8,True,2.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,1.0,Germany,2014-03-27,1.0,-1.0,3.0,4,False,1.0,Economy Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-28,3.0,-1.0,2.0,6,True,1.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-29,4.0,-1.0,5.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,2.0,Germany,2014-03-30,1.0,-1.0,2.0,2,False,1.0,Economy Class,Not informed,1,False,-1.0
Not informed,Deutsche Lufthansa AG,2.0,Germany,2014-03-30,1.0,-1.0,2.0,2,False,1.0,Economy Class,Not informed,1,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-30,4.0,-1.0,5.0,9,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-30,4.0,-1.0,5.0,9,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-31,5.0,-1.0,5.0,8,True,2.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-31,4.0,-1.0,4.0,10,True,5.0,First Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-03-31,4.0,-1.0,4.0,10,True,5.0,First Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-01,4.0,-1.0,5.0,7,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-01,5.0,-1.0,5.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,1.0,Germany,2014-04-01,1.0,-1.0,1.0,1,False,1.0,Business Class,Not informed,1,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-02,4.0,-1.0,4.0,7,True,4.0,First Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-02,5.0,-1.0,2.0,10,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-06,4.0,-1.0,5.0,9,True,5.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-04-06,4.0,-1.0,3.0,7,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-04-06,3.0,-1.0,1.0,4,False,1.0,Economy Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-08,5.0,-1.0,5.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,2.0,Germany,2014-04-10,3.0,-1.0,3.0,6,True,4.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-04-10,1.0,-1.0,4.0,8,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-04-11,2.0,-1.0,2.0,7,True,4.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-11,5.0,-1.0,5.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-13,2.0,-1.0,1.0,7,True,4.0,Business Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,1.0,Germany,2014-04-13,3.0,-1.0,1.0,1,False,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,1.0,Germany,2014-04-13,3.0,-1.0,1.0,1,False,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,1.0,Germany,2014-04-13,3.0,-1.0,1.0,1,False,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-15,5.0,-1.0,5.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-04-16,4.0,-1.0,1.0,8,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-04-16,4.0,-1.0,1.0,8,True,4.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-04-16,4.0,-1.0,3.0,8,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-16,4.0,-1.0,4.0,8,True,3.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-04-19,4.0,-1.0,3.0,6,False,2.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-19,3.0,-1.0,4.0,8,True,5.0,Business Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-04-21,3.0,-1.0,4.0,7,True,3.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-21,4.0,-1.0,5.0,8,True,4.0,Business Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-21,2.0,-1.0,3.0,1,False,1.0,Business Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-04-22,4.0,-1.0,3.0,8,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-04-22,4.0,-1.0,3.0,8,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-04-23,3.0,-1.0,5.0,7,True,5.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-24,4.0,-1.0,4.0,8,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-04-25,2.0,-1.0,1.0,7,True,4.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-28,4.0,-1.0,4.0,8,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,2.0,Germany,2014-04-29,2.0,-1.0,2.0,4,False,2.0,First Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-04-30,4.0,-1.0,2.0,7,True,4.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,3.0,Germany,2014-05-01,3.0,-1.0,3.0,7,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-01,3.0,-1.0,4.0,4,True,1.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-01,3.0,-1.0,4.0,4,True,1.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-03,4.0,-1.0,2.0,6,True,1.0,First Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-03,4.0,-1.0,3.0,10,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-03,4.0,-1.0,3.0,8,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-05,4.0,-1.0,3.0,8,True,4.0,First Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-05,5.0,-1.0,5.0,9,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-05,4.0,-1.0,4.0,7,True,3.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,2.0,Germany,2014-05-05,1.0,-1.0,4.0,5,False,3.0,Economy Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-05,5.0,-1.0,4.0,10,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-05,3.0,-1.0,4.0,7,True,3.0,Premium Economy,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-06,3.0,-1.0,3.0,2,True,2.0,Economy Class,Not informed,2,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-06,5.0,-1.0,1.0,10,True,5.0,Business Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-06,5.0,-1.0,4.0,9,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-07,3.0,-1.0,4.0,6,True,2.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-07,3.0,-1.0,4.0,7,True,3.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-08,4.0,-1.0,2.0,7,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-10,5.0,-1.0,4.0,8,True,5.0,Business Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,4.0,Germany,2014-05-11,1.0,-1.0,5.0,2,False,1.0,Economy Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-11,4.0,-1.0,4.0,8,True,5.0,First Class,Not informed,3,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-11,4.0,-1.0,5.0,7,True,4.0,Economy Class,Not informed,4,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-11,5.0,-1.0,5.0,10,True,5.0,First Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-11,5.0,-1.0,5.0,2,True,5.0,Economy Class,Not informed,5,False,-1.0
Not informed,Deutsche Lufthansa AG,5.0,Germany,2014-05-12,4.0,-1.0,3.0,9,True,3.0,Economy Class,Not informed,4,False,-1.0
