date,header,rating,content,seat_type,seat_comfort,cabin_staff_service,food_&_beverages,value_for_money,recommended,id,type_of_traveller,route,date_flown,inflight_entertainment,aircraft,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2012-09-03,Ryanair customer review,8.0,Not informed,Economy Class,2.0,3.0,3.0,3.0,True,16,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-05,Ryanair customer review,10.0,Not informed,Economy Class,5.0,5.0,4.0,4.0,True,17,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-06,Ryanair customer review,1.0,Not informed,Economy Class,2.0,1.0,1.0,2.0,False,18,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-06,Ryanair customer review,2.0,Not informed,Economy Class,2.0,1.0,1.0,2.0,False,19,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2012-09-06,Ryanair customer review,8.0,Not informed,Economy Class,4.0,4.0,-1.0,5.0,True,20,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-08-28,Ryanair customer review,1.0,Not informed,Economy Class,1.0,2.0,1.0,2.0,False,21,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-08-29,Ryanair customer review,8.0,Not informed,Economy Class,3.0,4.0,3.0,4.0,True,22,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-01,Ryanair customer review,-1.0,Not informed,Economy Class,2.0,2.0,2.0,1.0,False,23,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-01,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,-1.0,4.0,True,24,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-02,Ryanair customer review,5.0,Not informed,Economy Class,2.0,2.0,-1.0,2.0,False,25,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-02,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,4.0,4.0,True,26,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-02,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,1.0,-1.0,2.0,False,27,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-02,Ryanair customer review,5.0,Not informed,Economy Class,2.0,2.0,-1.0,2.0,False,28,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-04,Ryanair customer review,1.0,Not informed,Economy Class,2.0,1.0,-1.0,4.0,False,29,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-04,Ryanair customer review,10.0,Not informed,Economy Class,5.0,5.0,4.0,5.0,True,30,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-05,Ryanair customer review,7.0,Not informed,Economy Class,3.0,1.0,-1.0,4.0,True,31,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-08,Ryanair customer review,2.0,Not informed,Economy Class,3.0,2.0,1.0,1.0,False,32,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-08,Ryanair customer review,5.0,Not informed,Economy Class,1.0,1.0,1.0,4.0,True,33,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-08,Ryanair customer review,10.0,Not informed,Economy Class,5.0,5.0,-1.0,4.0,True,34,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-08,Ryanair customer review,2.0,Not informed,Economy Class,3.0,2.0,1.0,1.0,False,35,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-08,Ryanair customer review,10.0,Not informed,Economy Class,5.0,5.0,3.0,5.0,True,36,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-09,Ryanair customer review,8.0,Not informed,Economy Class,3.0,4.0,4.0,5.0,True,37,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-10,Ryanair customer review,3.0,Not informed,Economy Class,3.0,4.0,3.0,3.0,False,38,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-10,Ryanair customer review,-1.0,Not informed,Economy Class,2.0,2.0,-1.0,1.0,False,39,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-10,Ryanair customer review,3.0,Not informed,Economy Class,3.0,4.0,3.0,3.0,False,40,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-10,Ryanair customer review,3.0,Not informed,Economy Class,3.0,4.0,3.0,3.0,False,41,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-11,Ryanair customer review,-1.0,Not informed,Economy Class,3.0,1.0,-1.0,1.0,False,42,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-12,Ryanair customer review,3.0,Not informed,Economy Class,3.0,5.0,4.0,2.0,False,43,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-12,Ryanair customer review,8.0,Not informed,Economy Class,3.0,2.0,3.0,5.0,True,44,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-12,Ryanair customer review,1.0,Not informed,Economy Class,2.0,1.0,-1.0,-1.0,False,45,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-13,Ryanair customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,False,46,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-15,Ryanair customer review,1.0,Not informed,Economy Class,3.0,3.0,3.0,2.0,False,47,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-15,Ryanair customer review,-1.0,Not informed,Economy Class,3.0,2.0,-1.0,3.0,False,48,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-15,Ryanair customer review,1.0,Not informed,Economy Class,3.0,3.0,3.0,2.0,False,49,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-15,Ryanair customer review,8.0,Not informed,Economy Class,5.0,4.0,3.0,4.0,True,50,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-16,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,False,51,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-17,Ryanair customer review,2.0,Not informed,Economy Class,1.0,2.0,2.0,2.0,False,52,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-17,Ryanair customer review,-1.0,Not informed,Economy Class,-1.0,1.0,-1.0,1.0,False,53,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-17,Ryanair customer review,2.0,Not informed,Economy Class,-1.0,1.0,2.0,2.0,False,54,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-18,Ryanair customer review,8.0,Not informed,Economy Class,3.0,4.0,3.0,5.0,True,55,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-18,Ryanair customer review,8.0,Not informed,Economy Class,4.0,5.0,3.0,4.0,True,56,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-18,Ryanair customer review,2.0,Not informed,Economy Class,2.0,1.0,-1.0,1.0,False,57,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-19,Ryanair customer review,1.0,Not informed,Economy Class,1.0,1.0,-1.0,2.0,False,58,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-19,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,False,59,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-22,Ryanair customer review,1.0,Not informed,Economy Class,5.0,5.0,-1.0,3.0,False,60,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-22,Ryanair customer review,1.0,Not informed,Economy Class,5.0,5.0,-1.0,3.0,False,61,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-22,Ryanair customer review,3.0,Not informed,Economy Class,2.0,3.0,-1.0,2.0,False,62,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-22,Ryanair customer review,1.0,Not informed,Economy Class,5.0,5.0,-1.0,3.0,False,63,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-22,Ryanair customer review,1.0,Not informed,Economy Class,1.0,1.0,-1.0,2.0,False,64,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-24,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,-1.0,5.0,True,65,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-24,Ryanair customer review,5.0,Not informed,Economy Class,3.0,3.0,2.0,3.0,False,66,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-25,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,1.0,2.0,2.0,False,67,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-25,Ryanair customer review,10.0,Not informed,Economy Class,3.0,3.0,-1.0,5.0,True,68,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-26,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,False,69,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-29,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,-1.0,5.0,True,70,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-29,Ryanair customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,False,71,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-09-29,Ryanair customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,False,72,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-01,Ryanair customer review,3.0,Not informed,Economy Class,4.0,1.0,-1.0,3.0,False,73,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-01,Ryanair customer review,4.0,Not informed,Economy Class,1.0,2.0,1.0,3.0,False,74,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-01,Ryanair customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,2.0,False,75,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-01,Ryanair customer review,4.0,Not informed,Economy Class,1.0,2.0,1.0,3.0,False,76,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-01,Ryanair customer review,2.0,Not informed,Economy Class,1.0,2.0,2.0,4.0,False,77,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-01,Ryanair customer review,4.0,Not informed,Economy Class,1.0,2.0,1.0,3.0,False,78,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-02,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,4.0,5.0,True,79,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-03,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,-1.0,5.0,True,80,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-03,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,-1.0,5.0,True,81,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-03,Ryanair customer review,-1.0,Not informed,Economy Class,2.0,2.0,-1.0,2.0,False,82,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-03,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,2.0,2.0,1.0,False,83,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-07,Ryanair customer review,9.0,Not informed,Economy Class,4.0,4.0,-1.0,4.0,True,84,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-07,Ryanair customer review,10.0,Not informed,Economy Class,3.0,4.0,3.0,5.0,True,85,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-07,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,4.0,4.0,True,86,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-07,Ryanair customer review,-1.0,Not informed,Economy Class,3.0,3.0,-1.0,2.0,False,87,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-07,Ryanair customer review,3.0,Not informed,Economy Class,2.0,2.0,-1.0,3.0,False,88,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-07,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,4.0,4.0,True,89,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-07,Ryanair customer review,-1.0,Not informed,Economy Class,3.0,3.0,-1.0,2.0,False,90,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-07,Ryanair customer review,10.0,Not informed,Economy Class,3.0,4.0,3.0,5.0,True,91,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-09,Ryanair customer review,10.0,Not informed,Economy Class,4.0,4.0,4.0,5.0,True,92,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-10,Ryanair customer review,4.0,Not informed,Economy Class,3.0,3.0,1.0,4.0,False,93,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-10,Ryanair customer review,4.0,Not informed,Economy Class,3.0,3.0,1.0,4.0,False,94,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-10,Ryanair customer review,-1.0,Not informed,Economy Class,2.0,1.0,1.0,1.0,False,95,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-13,Ryanair customer review,8.0,Not informed,Economy Class,4.0,4.0,4.0,4.0,True,96,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-13,Ryanair customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,2.0,False,97,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-13,Ryanair customer review,10.0,Not informed,Economy Class,5.0,5.0,4.0,5.0,True,98,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-15,Ryanair customer review,8.0,Not informed,Economy Class,4.0,4.0,4.0,4.0,True,99,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-15,Ryanair customer review,3.0,Not informed,Economy Class,2.0,2.0,-1.0,4.0,False,100,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-15,Ryanair customer review,8.0,Not informed,Economy Class,4.0,4.0,4.0,4.0,True,101,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-15,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,4.0,5.0,True,102,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-15,Ryanair customer review,10.0,Not informed,Economy Class,3.0,4.0,3.0,5.0,True,103,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-15,Ryanair customer review,1.0,Not informed,Economy Class,3.0,3.0,3.0,3.0,False,104,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-16,Ryanair customer review,-1.0,Not informed,Economy Class,4.0,2.0,-1.0,-1.0,False,105,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-18,Ryanair customer review,10.0,Not informed,Economy Class,5.0,5.0,5.0,5.0,True,106,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-18,Ryanair customer review,10.0,Not informed,Economy Class,5.0,5.0,4.0,5.0,True,107,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-20,Ryanair customer review,4.0,Not informed,Economy Class,3.0,4.0,-1.0,3.0,False,108,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-22,Ryanair customer review,6.0,Not informed,Economy Class,3.0,1.0,1.0,4.0,False,109,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-22,Ryanair customer review,-1.0,Not informed,Economy Class,3.0,1.0,-1.0,1.0,False,110,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-22,Ryanair customer review,9.0,Not informed,Economy Class,3.0,4.0,-1.0,5.0,True,111,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-22,Ryanair customer review,-1.0,Not informed,Economy Class,3.0,1.0,-1.0,1.0,False,112,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-23,Ryanair customer review,8.0,Not informed,Economy Class,3.0,4.0,-1.0,5.0,True,113,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-23,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,3.0,5.0,True,114,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-25,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,1.0,1.0,2.0,False,115,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-25,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,False,116,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-29,Ryanair customer review,-1.0,Not informed,Economy Class,3.0,1.0,-1.0,1.0,False,117,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-29,Ryanair customer review,2.0,Not informed,Economy Class,4.0,1.0,1.0,-1.0,False,118,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-29,Ryanair customer review,-1.0,Not informed,Economy Class,-1.0,-1.0,-1.0,1.0,False,119,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-29,Ryanair customer review,10.0,Not informed,Economy Class,5.0,5.0,2.0,5.0,True,120,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-29,Ryanair customer review,10.0,Not informed,Economy Class,4.0,5.0,5.0,5.0,True,121,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-10-29,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,2.0,1.0,1.0,False,122,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-01,Ryanair customer review,-1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,False,123,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-04,Ryanair customer review,9.0,Not informed,Economy Class,-1.0,-1.0,-1.0,5.0,True,124,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-04,Ryanair customer review,-1.0,Not informed,Economy Class,3.0,1.0,1.0,1.0,False,125,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-06,Ryanair customer review,5.0,Not informed,Economy Class,3.0,4.0,-1.0,4.0,True,126,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-06,Ryanair customer review,-1.0,Not informed,Economy Class,2.0,2.0,2.0,1.0,False,127,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-06,Ryanair customer review,-1.0,Not informed,Economy Class,2.0,-1.0,-1.0,-1.0,False,128,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-06,Ryanair customer review,1.0,Not informed,Economy Class,3.0,2.0,3.0,3.0,False,129,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-10,Ryanair customer review,9.0,Not informed,Economy Class,5.0,5.0,4.0,5.0,True,130,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-13,Ryanair customer review,3.0,Not informed,Economy Class,1.0,2.0,1.0,4.0,False,131,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-13,Ryanair customer review,10.0,Not informed,Economy Class,4.0,4.0,4.0,5.0,True,132,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-14,Ryanair customer review,10.0,Not informed,Economy Class,3.0,3.0,3.0,5.0,True,133,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-14,Ryanair customer review,5.0,Not informed,Economy Class,4.0,3.0,3.0,3.0,False,134,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-19,Ryanair customer review,7.0,Not informed,Economy Class,3.0,3.0,4.0,5.0,True,135,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-21,Ryanair customer review,9.0,Not informed,Economy Class,4.0,5.0,3.0,5.0,True,136,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-22,Ryanair customer review,-1.0,Not informed,Economy Class,3.0,4.0,1.0,1.0,False,137,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
2013-11-25,Ryanair customer review,10.0,Not informed,Economy Class,5.0,5.0,5.0,5.0,True,138,Not informed,Not informed,Not informed,-1.0,Not informed,-1.0,-1.0,Ryanair,Ireland,False
