date,header,rating,content,seat_type,value_for_money,recommended,id,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,type_of_traveller,aircraft,route,date_flown,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2010-12-30,Indigo customer review,10.0,Not informed,Economy Class,1,True,11,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2011-01-24,Indigo customer review,9.0,Not informed,Economy Class,1,True,12,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2011-02-04,Indigo customer review,9.0,Not informed,Economy Class,1,True,13,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2011-02-17,Indigo customer review,8.0,Not informed,Economy Class,1,True,14,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2011-06-23,Indigo customer review,10.0,Not informed,Economy Class,1,True,15,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2011-09-30,Indigo customer review,8.0,Not informed,Economy Class,1,True,16,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2011-11-18,Indigo customer review,8.0,Not informed,Economy Class,1,True,17,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2011-12-14,Indigo customer review,8.0,Not informed,Economy Class,1,True,18,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2011-12-28,Indigo customer review,8.0,Not informed,Economy Class,1,True,19,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-01-05,Indigo customer review,9.0,Not informed,Economy Class,1,True,20,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-01-05,Indigo customer review,7.0,Not informed,Economy Class,1,True,21,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-01-28,Indigo customer review,3.0,Not informed,Economy Class,1,False,22,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-02-06,Indigo customer review,9.0,Not informed,Economy Class,1,True,23,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-02-28,Indigo customer review,9.0,Not informed,Economy Class,1,True,24,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-03-02,Indigo customer review,8.0,Not informed,Economy Class,1,True,25,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-03-09,Indigo customer review,Not informed,Not informed,Economy Class,1,False,26,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-03-09,Indigo customer review,Not informed,Not informed,Economy Class,1,False,27,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-04-04,Indigo customer review,2.0,Not informed,Economy Class,1,False,28,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-04-29,Indigo customer review,9.0,Not informed,Economy Class,1,True,29,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-05-30,Indigo customer review,5.0,Not informed,Economy Class,1,False,30,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-07-15,Indigo customer review,7.0,Not informed,Economy Class,1,True,31,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-08-06,Indigo customer review,3.0,Not informed,Economy Class,1,False,32,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-08-07,Indigo customer review,10.0,Not informed,Economy Class,1,True,33,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-08-08,Indigo customer review,7.0,Not informed,Economy Class,1,True,34,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-09-05,Indigo customer review,8.0,Not informed,Economy Class,1,True,35,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-09-05,Indigo customer review,8.0,Not informed,Economy Class,1,True,36,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-09-30,Indigo customer review,9.0,Not informed,Economy Class,1,True,37,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-10-17,Indigo customer review,9.0,Not informed,Economy Class,1,True,38,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-10-24,Indigo customer review,10.0,Not informed,Economy Class,1,True,39,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-12-12,Indigo customer review,10.0,Not informed,Economy Class,1,True,40,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-12-13,Indigo customer review,9.0,Not informed,Economy Class,1,True,41,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2012-12-25,Indigo customer review,Not informed,Not informed,Economy Class,1,False,42,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-01-08,Indigo customer review,10.0,Not informed,Economy Class,1,True,43,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-01-08,Indigo customer review,9.0,Not informed,Economy Class,1,True,44,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-02-03,Indigo customer review,10.0,Not informed,Economy Class,1,True,45,Not informed,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-02-12,Indigo customer review,8.0,Not informed,Economy Class,1,True,46,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-02-25,Indigo customer review,10.0,Not informed,Economy Class,1,True,47,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-03-14,Indigo customer review,9.0,Not informed,Economy Class,1,True,48,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-04-11,Indigo customer review,8.0,Not informed,Economy Class,1,True,49,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-04-21,Indigo customer review,9.0,Not informed,Economy Class,1,True,50,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-05-06,Indigo customer review,10.0,Not informed,Economy Class,1,True,51,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-05-13,Indigo customer review,9.0,Not informed,Economy Class,1,True,52,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-05-23,Indigo customer review,8.0,Not informed,Economy Class,1,True,53,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-05-30,Indigo customer review,Not informed,Not informed,Economy Class,1,False,54,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-05-30,Indigo customer review,Not informed,Not informed,Economy Class,1,False,55,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-06-19,Indigo customer review,9.0,Not informed,Economy Class,1,True,56,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-06-21,Indigo customer review,10.0,Not informed,Economy Class,1,True,57,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-06-23,Indigo customer review,10.0,Not informed,Economy Class,1,True,58,1.0,1.0,Not informed,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-07-31,Indigo customer review,10.0,Not informed,Economy Class,1,True,59,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-08-26,Indigo customer review,10.0,Not informed,Economy Class,1,True,60,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-09-10,Indigo customer review,7.0,Not informed,Economy Class,1,True,61,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-09-19,Indigo customer review,8.0,Not informed,Economy Class,1,True,62,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-10-07,Indigo customer review,8.0,Not informed,Economy Class,1,True,63,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-10-09,Indigo customer review,10.0,Not informed,Economy Class,1,True,64,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-10-13,Indigo customer review,9.0,Not informed,Economy Class,1,True,65,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-10-15,Indigo customer review,10.0,Not informed,Economy Class,1,True,66,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-11-10,Indigo customer review,10.0,Not informed,Economy Class,1,True,67,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-11-15,Indigo customer review,8.0,Not informed,Economy Class,1,True,68,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-12-12,Indigo customer review,5.0,Not informed,Economy Class,1,False,69,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-12-29,Indigo customer review,9.0,Not informed,Economy Class,1,True,70,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2013-12-29,Indigo customer review,9.0,Not informed,Economy Class,1,True,71,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-01-02,Indigo customer review,3.0,Not informed,Economy Class,1,False,72,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-01-13,Indigo customer review,8.0,Not informed,Economy Class,1,True,73,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-01-29,Indigo customer review,10.0,Not informed,Economy Class,1,True,74,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-02-11,Indigo customer review,3.0,Not informed,Economy Class,1,False,75,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-02-20,Indigo customer review,1.0,Not informed,Economy Class,1,False,76,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-02-26,Indigo customer review,10.0,Not informed,Economy Class,1,True,77,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-03-05,Indigo customer review,8.0,Not informed,Economy Class,1,True,78,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-03-13,Indigo customer review,Not informed,Not informed,Economy Class,1,False,79,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-03-29,Indigo customer review,10.0,Not informed,Economy Class,1,True,80,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-03-30,Indigo customer review,10.0,Not informed,Economy Class,1,True,81,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-05-03,Indigo customer review,9.0,Not informed,Economy Class,1,True,82,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-07-22,Indigo customer review,8.0,Not informed,Economy Class,1,True,83,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-08-06,Indigo customer review,9.0,Not informed,Economy Class,1,True,84,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-08-11,Indigo customer review,8.0,Not informed,Economy Class,1,True,85,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-09-01,Indigo customer review,10.0,Not informed,Economy Class,1,True,86,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-09-14,Indigo customer review,10.0,Not informed,Economy Class,1,True,87,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-10-12,Indigo customer review,1.0,Not informed,Economy Class,1,False,88,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-10-28,Indigo customer review,10.0,Not informed,Economy Class,1,True,89,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-11-11,Indigo customer review,4.0,Not informed,Economy Class,1,False,90,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-11-20,Indigo customer review,9.0,Not informed,Economy Class,1,True,91,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-11-25,Indigo customer review,8.0,Not informed,Economy Class,1,True,92,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-12-01,Indigo customer review,10.0,Not informed,Economy Class,1,True,93,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-12-04,Indigo customer review,9.0,Not informed,Economy Class,1,True,94,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2014-12-18,Indigo customer review,9.0,Not informed,Economy Class,1,True,95,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-01-14,Indigo customer review,9.0,Not informed,Economy Class,1,True,96,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-01-21,Indigo customer review,8.0,Not informed,Economy Class,1,True,97,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-01-28,Indigo customer review,9.0,Not informed,Economy Class,1,True,98,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-02-06,Indigo customer review,10.0,Not informed,Economy Class,1,True,99,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-02-24,Indigo customer review,2.0,Not informed,Economy Class,1,False,100,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-03-20,Indigo customer review,10.0,Not informed,Economy Class,1,True,101,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-03-23,Indigo customer review,10.0,Not informed,Economy Class,1,True,102,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-04-10,Indigo customer review,10.0,Not informed,Economy Class,1,True,103,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-04-16,Indigo customer review,6.0,Not informed,Economy Class,1,True,104,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-04-27,Indigo customer review,5.0,Not informed,Economy Class,1,False,105,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-05-29,Indigo customer review,3.0,Not informed,Economy Class,1,False,106,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-06-07,Indigo customer review,Not informed,Not informed,Economy Class,1,False,107,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-06-12,Indigo customer review,5.0,Not informed,Economy Class,1,False,108,1.0,1.0,1.0,Not informed,Solo Leisure,Not informed,Not informed,Not informed,Not informed,Not informed,IndiGo,India,False
2015-06-20,Indigo customer review,8.0,Not informed,Economy Class,1,True,109,1.0,1.0,1.0,Not informed,Solo Leisure,A320,Goa to Kolkata via Bagdogra,June 2015,1.0,Not informed,IndiGo,India,False
2015-07-14,Indigo customer review,5.0,Not informed,Economy Class,1,True,110,1.0,1.0,Not informed,Not informed,Family Leisure,Not informed,Indore to Pune via Hyderabad,July 2015,1.0,Not informed,IndiGo,India,False
2015-07-24,Indigo customer review,9.0,Not informed,Economy Class,1,True,111,1.0,1.0,1.0,Not informed,Solo Leisure,Not informed,Pune to New Delhi,July 2015,1.0,Not informed,IndiGo,India,False
2015-08-02,Indigo customer review,10.0,Not informed,Economy Class,1,True,112,1.0,1.0,Not informed,Not informed,Business,A321 Sharklet,New Delhi to Mumbai,July 2015,1.0,Not informed,IndiGo,India,False
2015-09-03,Indigo customer review,8.0,Not informed,Economy Class,1,True,113,1.0,1.0,1.0,Not informed,Business,A320,BOM to JAI via DEL,August 2015,1.0,Not informed,IndiGo,India,False
2015-09-07,Indigo staff were very friendly,10.0,Not informed,Economy Class,1,True,114,1.0,1.0,Not informed,Not informed,Solo Leisure,Not informed,Chennai to Bagdogra,February 2015,1.0,Not informed,IndiGo,India,False
2015-09-29,A reasonably good airline,6.0,Not informed,Economy Class,1,True,115,1.0,1.0,1.0,1.0,Solo Leisure,A320,Kolkata to Bengaluru,September 2015,1.0,Not informed,IndiGo,India,False
2015-10-08,Poor ground service,3.0,Not informed,Economy Class,1,False,116,1.0,1.0,Not informed,Not informed,Business,Not informed,Delhi to Goa,October 2015,1.0,Not informed,IndiGo,India,False
2015-10-10,Comfortable and very clean,8.0,Not informed,Economy Class,1,True,117,1.0,1.0,Not informed,Not informed,Family Leisure,A320,Singapore to Chennai,September 2015,1.0,Not informed,IndiGo,India,False
2015-10-22,Indigo does a very good job,9.0,Not informed,Economy Class,1,True,118,1.0,1.0,1.0,Not informed,Business,A320,Bangkok to Kolakata,August 2015,1.0,Not informed,IndiGo,India,False
2015-11-01,Food was absolutely delicious,9.0,Not informed,Economy Class,1,True,119,1.0,1.0,1.0,Not informed,Family Leisure,A320,BDQ to CCU via DEL,January 2015,1.0,Not informed,IndiGo,India,False
2015-11-01,Well functioning lcc,9.0,Not informed,Economy Class,1,True,120,1.0,1.0,Not informed,1.0,Family Leisure,A320,Chennai to Bangalore,October 2015,1.0,Not informed,IndiGo,India,False
2015-11-14,A superb experience,10.0,Not informed,Economy Class,1,True,121,1.0,1.0,Not informed,Not informed,Solo Leisure,A320,BKK to PNQ via CCU,November 2015,1.0,Not informed,IndiGo,India,False
2015-11-15,So comfortable and smooth,10.0,Not informed,Economy Class,1,True,122,1.0,1.0,1.0,Not informed,Family Leisure,Not informed,PAT to PNQ via DEL,November 2015,1.0,Not informed,IndiGo,India,False
2015-11-28,Staff are very kind,9.0,Not informed,Economy Class,1,True,123,1.0,1.0,1.0,Not informed,Solo Leisure,A320,Chennai to Singapore,November 2015,1.0,Not informed,IndiGo,India,False
2015-12-09,Another flawless flight,10.0,Not informed,Economy Class,1,True,124,1.0,1.0,Not informed,Not informed,Solo Leisure,A320,Pune to Bangkok via Kolkata,November 2015,1.0,Not informed,IndiGo,India,False
2015-12-24,Service and aircraft up to the mark,8.0,Not informed,Economy Class,1,True,125,1.0,1.0,1.0,Not informed,Solo Leisure,A320,BOM to DXB,December 2015,1.0,Not informed,IndiGo,India,False
2015-12-26,Recommend indigo,8.0,Not informed,Economy Class,1,True,126,1.0,1.0,1.0,1.0,Family Leisure,A320-200,IXZ to DEL via CCU,January 2015,1.0,1.0,IndiGo,India,False
2015-12-27,Long admired indigo,5.0,Not informed,Economy Class,1,False,127,1.0,1.0,1.0,Not informed,Business,A320,BOM to AMD,December 2015,1.0,Not informed,IndiGo,India,False
2016-01-07,All flights on time,6.0,Not informed,Economy Class,1,True,128,1.0,1.0,1.0,Not informed,Business,A320,BOM to CCU,December 2015,1.0,Not informed,IndiGo,India,False
2016-01-15,Would fly them again,10.0,Not informed,Economy Class,1,True,129,1.0,1.0,1.0,Not informed,Business,Not informed,DEL to BOM,January 2016,1.0,Not informed,IndiGo,India,False
2016-01-20,I missed my flight,3.0,Not informed,Economy Class,1,False,130,1.0,1.0,1.0,Not informed,Business,Not informed,BLR to PNQ,January 2016,1.0,Not informed,IndiGo,India,False
2016-01-21,Was very impressed,10.0,Not informed,Economy Class,1,True,131,1.0,1.0,Not informed,Not informed,Couple Leisure,Not informed,DEL to GOI,January 2016,1.0,Not informed,IndiGo,India,False
2016-01-24,Punctual and comfortable,8.0,Not informed,Economy Class,1,True,132,1.0,1.0,Not informed,Not informed,Couple Leisure,A320,PNQ to NAG,January 2016,1.0,Not informed,IndiGo,India,False
2016-01-26,Yet another bad experience,2.0,Not informed,Economy Class,1,False,133,1.0,1.0,1.0,Not informed,Couple Leisure,Not informed,UDR to BOM,January 2016,1.0,Not informed,IndiGo,India,False
2016-02-19,Well-trained and helpful,8.0,Not informed,Economy Class,1,True,134,1.0,1.0,1.0,1.0,Solo Leisure,A320,BOM to JAI,January 2016,1.0,Not informed,IndiGo,India,False
2016-02-27,A flawless flight,10.0,Not informed,Economy Class,1,True,135,1.0,1.0,Not informed,Not informed,Solo Leisure,A320,BKK to PNQ via CCU,February 2016,1.0,Not informed,IndiGo,India,False
2016-03-14,Ambience was pleasant,5.0,Not informed,Economy Class,1,True,136,1.0,1.0,1.0,1.0,Business,A320,DEL to PNQ,March 2016,1.0,1.0,IndiGo,India,False
2016-03-20,Flight experience  was good,10.0,Not informed,Economy Class,1,True,137,1.0,1.0,Not informed,1.0,Family Leisure,A320,DEL to VTZ via HYD,March 2016,1.0,Not informed,IndiGo,India,False
2016-03-22,Flight experience always been good,9.0,Not informed,Economy Class,1,True,138,1.0,1.0,1.0,Not informed,Solo Leisure,A320,PNQ to LKO via DEL,February 2016,1.0,Not informed,IndiGo,India,False
2016-05-10,Seats not that comfortable,4.0,"cochin to delhi with indigo, flight was late by 1 hour due to incoming aircraft arriving late.  seat was 13e(xl). seats not that comfortable and cushioning is very hard. had the instant noodles which was tasty along with cappuccino which is always hot and tasty. service was okay. at del, baggage took a long time to come.",Economy Class,1,False,139,1.0,1.0,1.0,Not informed,Business,A320,COK to DEL,April 2016,1.0,Not informed,IndiGo,India,False
2016-05-11,Worst experience so far,1.0,"delhi to hyderabad with indigo. while i'm writing this, i'm waiting to make the payment for excess luggage. the problem is, it's been 40 minutes, and having been moved from one counter to another, three times, i'm still stuck in a state wondering if i'll ever get my boarding pass for an already delayed flight. i've travelled on pretty much every domestic airline that operates in india. this is my worst experience so far. unlikely i'll ever buy a ticket with indigo again.",Economy Class,1,False,140,1.0,1.0,1.0,1.0,Business,Not informed,DEL to HYD,May 2016,1.0,1.0,IndiGo,India,False
