date,header,rating,content,seat_type,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,value_for_money,recommended,id,type_of_traveller,route,date_flown,aircraft,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2013-10-10,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,Not informed,1.0,False,27,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-13,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,28,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-13,Turkish airlines customer review,7.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,29,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-15,Turkish airlines customer review,7.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,30,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-15,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,Not informed,1.0,False,31,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-15,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,Not informed,1.0,False,32,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-16,Turkish airlines customer review,5.0,Not informed,Economy Class,1.0,1.0,1.0,Not informed,1.0,True,33,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-18,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,34,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-18,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,35,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-18,Turkish airlines customer review,4.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,36,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-18,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,37,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-18,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,38,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-20,Turkish airlines customer review,7.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,39,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-20,Turkish airlines customer review,8.0,Not informed,Premium Economy,1.0,1.0,1.0,1.0,1.0,True,40,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-20,Turkish airlines customer review,3.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,41,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-22,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,42,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-22,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,43,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-23,Turkish airlines customer review,4.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,44,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-23,Turkish airlines customer review,4.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,45,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-29,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,46,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-29,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,47,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-29,Turkish airlines customer review,6.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,48,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-29,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,Not informed,1.0,False,49,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-30,Turkish airlines customer review,7.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,50,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-10-30,Turkish airlines customer review,7.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,51,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-05,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,52,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-05,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,53,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-05,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,54,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-05,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,55,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-05,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,56,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-05,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,57,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-10,Turkish airlines customer review,9.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,58,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-14,Turkish airlines customer review,5.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,59,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-18,Turkish airlines customer review,5.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,60,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-19,Turkish airlines customer review,7.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,61,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-20,Turkish airlines customer review,10.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,62,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-21,Turkish airlines customer review,5.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,63,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-21,Turkish airlines customer review,5.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,64,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-25,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,65,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-27,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,66,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-27,Turkish airlines customer review,6.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,67,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-27,Turkish airlines customer review,4.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,Not informed,False,68,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-27,Turkish airlines customer review,3.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,69,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-29,Turkish airlines customer review,3.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,70,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-11-29,Turkish airlines customer review,1.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,71,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-02,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,72,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-03,Turkish airlines customer review,8.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,73,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-03,Turkish airlines customer review,8.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,74,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-03,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,75,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-04,Turkish airlines customer review,7.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,76,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-04,Turkish airlines customer review,5.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,77,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-06,Turkish airlines customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,78,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-06,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,79,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-07,Turkish airlines customer review,10.0,Not informed,Premium Economy,1.0,1.0,1.0,1.0,1.0,True,80,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-09,Turkish airlines customer review,7.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,81,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-09,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,82,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-09,Turkish airlines customer review,6.0,Not informed,Premium Economy,1.0,1.0,1.0,1.0,1.0,True,83,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-09,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,84,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-09,Turkish airlines customer review,8.0,Not informed,Premium Economy,1.0,1.0,1.0,1.0,1.0,True,85,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-10,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,86,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-10,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,87,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-12,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,88,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-12,Turkish airlines customer review,5.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,89,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-12,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,90,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-12,Turkish airlines customer review,10.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,91,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-12,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,92,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-17,Turkish airlines customer review,5.0,Not informed,Business Class,1.0,1.0,1.0,Not informed,1.0,False,93,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-20,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,94,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-20,Turkish airlines customer review,6.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,95,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-21,Turkish airlines customer review,2.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,96,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-21,Turkish airlines customer review,8.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,97,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-23,Turkish airlines customer review,2.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,98,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-23,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,99,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-25,Turkish airlines customer review,10.0,Not informed,Business Class,1.0,1.0,1.0,Not informed,1.0,True,100,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-25,Turkish airlines customer review,5.0,Not informed,Premium Economy,1.0,1.0,1.0,1.0,1.0,False,101,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-29,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,102,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-29,Turkish airlines customer review,5.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,103,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-29,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,104,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2013-12-31,Turkish airlines customer review,4.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,105,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-02,Turkish airlines customer review,5.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,106,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-02,Turkish airlines customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,107,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-02,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,108,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-03,Turkish airlines customer review,9.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,109,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-03,Turkish airlines customer review,9.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,110,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-03,Turkish airlines customer review,6.0,Not informed,Business Class,1.0,1.0,1.0,Not informed,1.0,False,111,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-03,Turkish airlines customer review,9.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,112,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-04,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,113,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-06,Turkish airlines customer review,3.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,114,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-06,Turkish airlines customer review,3.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,115,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-08,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,116,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-08,Turkish airlines customer review,4.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,117,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-08,Turkish airlines customer review,4.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,118,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-08,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,119,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-08,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,120,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-08,Turkish airlines customer review,2.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,121,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-08,Turkish airlines customer review,Not informed,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,122,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-09,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,Not informed,1.0,True,123,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-10,Turkish airlines customer review,10.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,124,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-13,Turkish airlines customer review,3.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,False,125,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-13,Turkish airlines customer review,7.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,126,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-13,Turkish airlines customer review,8.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,127,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-13,Turkish airlines customer review,8.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,128,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-14,Turkish airlines customer review,7.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,129,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-14,Turkish airlines customer review,1.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,False,130,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-15,Turkish airlines customer review,9.0,Not informed,Premium Economy,1.0,1.0,1.0,1.0,1.0,True,131,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-16,Turkish airlines customer review,7.0,Not informed,Business Class,1.0,1.0,1.0,1.0,1.0,True,132,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
2014-01-20,Turkish airlines customer review,7.0,Not informed,Economy Class,1.0,1.0,1.0,1.0,1.0,True,133,Not informed,Not informed,Not informed,Not informed,Not informed,Not informed,Turkish Airlines,Turkey,False
