date,header,rating,content,seat_type,value_for_money,recommended,id,seat_comfort,cabin_staff_service,food_&_beverages,inflight_entertainment,aircraft,type_of_traveller,route,date_flown,ground_service,wifi_&_connectivity,airline_name,country,verified_trip
2011-02-15,Aeroflot russian airlines customer review,2.0,Not informed,Economy Class,1.0,False,15,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-02-28,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,16,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-03-04,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,17,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-03-06,Aeroflot russian airlines customer review,4.0,Not informed,Economy Class,4.0,True,18,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-03-10,Aeroflot russian airlines customer review,5.0,Not informed,Economy Class,4.0,True,19,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-03-23,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,20,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-03-24,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,21,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-04-03,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,22,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-04-10,Aeroflot russian airlines customer review,-1.0,Not informed,Economy Class,1.0,False,23,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-05-14,Aeroflot russian airlines customer review,2.0,Not informed,Economy Class,1.0,False,24,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-06-03,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,4.0,True,25,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-06-05,Aeroflot russian airlines customer review,10.0,Not informed,Economy Class,4.0,True,26,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-06-19,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,4.0,True,27,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-06-26,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,28,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-07-11,Aeroflot russian airlines customer review,1.0,Not informed,Economy Class,4.0,False,29,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-07-18,Aeroflot russian airlines customer review,8.0,Not informed,Business Class,4.0,True,30,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-07-27,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,31,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-07-28,Aeroflot russian airlines customer review,10.0,Not informed,Economy Class,4.0,True,32,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-07-28,Aeroflot russian airlines customer review,10.0,Not informed,Economy Class,4.0,True,33,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-07-31,Aeroflot russian airlines customer review,6.0,Not informed,Economy Class,4.0,False,34,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-08-02,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,35,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-08-21,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,-1.0,False,36,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-08-24,Aeroflot russian airlines customer review,6.0,Not informed,Economy Class,-1.0,False,37,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-09-06,Aeroflot russian airlines customer review,1.0,Not informed,Economy Class,-1.0,False,38,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-09-07,Aeroflot russian airlines customer review,-1.0,Not informed,Economy Class,-1.0,False,39,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-09-10,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,-1.0,False,40,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-09-18,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,-1.0,False,41,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-09-19,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,-1.0,False,42,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-09-25,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,-1.0,False,43,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-09-25,Aeroflot russian airlines customer review,10.0,Not informed,Economy Class,-1.0,False,44,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-10-13,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,-1.0,False,45,-1.0,-1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-10-16,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,46,4.0,3.0,3.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-10-19,Aeroflot russian airlines customer review,4.0,Not informed,Economy Class,3.0,True,47,3.0,2.0,1.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-10-22,Aeroflot russian airlines customer review,8.0,Not informed,Business Class,5.0,True,48,4.0,4.0,4.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-10-26,Aeroflot russian airlines customer review,3.0,Not informed,Economy Class,2.0,False,49,3.0,2.0,3.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-10-31,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,5.0,True,50,4.0,4.0,5.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-11-07,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,51,5.0,4.0,5.0,2.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-11-12,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,52,4.0,4.0,5.0,5.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-11-13,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,53,3.0,3.0,3.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-11-15,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,54,4.0,3.0,5.0,5.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-11-24,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,5.0,True,55,4.0,4.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-12-02,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,56,4.0,4.0,4.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-12-05,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,5.0,True,57,4.0,3.0,3.0,5.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-12-06,Aeroflot russian airlines customer review,7.0,Not informed,Business Class,3.0,True,58,2.0,4.0,5.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-12-07,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,59,4.0,3.0,3.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-12-11,Aeroflot russian airlines customer review,3.0,Not informed,Economy Class,3.0,False,60,3.0,2.0,3.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-12-16,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,61,4.0,5.0,4.0,5.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-12-18,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,5.0,True,62,4.0,3.0,4.0,2.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2011-12-20,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,63,5.0,5.0,4.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-01-06,Aeroflot russian airlines customer review,5.0,Not informed,Economy Class,1.0,False,64,3.0,1.0,3.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-01-11,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,65,4.0,5.0,5.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-01-13,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,5.0,True,66,3.0,4.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-01-17,Aeroflot russian airlines customer review,5.0,Not informed,Economy Class,3.0,False,67,3.0,2.0,3.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-01-24,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,68,5.0,5.0,4.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-01-26,Aeroflot russian airlines customer review,1.0,Not informed,Economy Class,1.0,False,69,1.0,1.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-01-27,Aeroflot russian airlines customer review,2.0,Not informed,Economy Class,3.0,False,70,3.0,1.0,2.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-01-31,Aeroflot russian airlines customer review,2.0,Not informed,Economy Class,1.0,False,71,3.0,1.0,-1.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-02-17,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,72,4.0,4.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-02-28,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,5.0,True,73,4.0,4.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-03-12,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,74,5.0,4.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-03-16,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,75,4.0,5.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-03-19,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,76,3.0,3.0,4.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-04-11,Aeroflot russian airlines customer review,1.0,Not informed,Economy Class,1.0,False,77,3.0,1.0,2.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-04-16,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,78,3.0,4.0,4.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-04-22,Aeroflot russian airlines customer review,9.0,Not informed,Business Class,5.0,True,79,3.0,4.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-04-22,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,5.0,True,80,4.0,4.0,3.0,5.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-04-22,Aeroflot russian airlines customer review,2.0,Not informed,Economy Class,1.0,False,81,2.0,1.0,3.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-04-24,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,5.0,True,82,4.0,3.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-05-01,Aeroflot russian airlines customer review,4.0,Not informed,Economy Class,3.0,False,83,2.0,2.0,3.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-05-02,Aeroflot russian airlines customer review,3.0,Not informed,Economy Class,3.0,False,84,1.0,4.0,4.0,5.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-05-03,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,85,4.0,3.0,4.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-05-08,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,5.0,True,86,4.0,4.0,4.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-05-08,Aeroflot russian airlines customer review,3.0,Not informed,Economy Class,3.0,False,87,1.0,2.0,3.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-05-17,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,5.0,True,88,4.0,4.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-05-22,Aeroflot russian airlines customer review,6.0,Not informed,Economy Class,4.0,True,89,4.0,4.0,2.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-06-06,Aeroflot russian airlines customer review,2.0,Not informed,Economy Class,3.0,False,90,2.0,2.0,4.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-06-07,Aeroflot russian airlines customer review,7.0,Not informed,Business Class,4.0,True,91,4.0,4.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-06-13,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,92,4.0,5.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-07-03,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,93,5.0,4.0,4.0,5.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-07-09,Aeroflot russian airlines customer review,4.0,Not informed,Economy Class,3.0,False,94,2.0,4.0,4.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-08-01,Aeroflot russian airlines customer review,7.0,Not informed,Business Class,4.0,True,95,4.0,2.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-08-06,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,96,4.0,4.0,5.0,5.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-08-16,Aeroflot russian airlines customer review,5.0,Not informed,Economy Class,5.0,False,97,3.0,2.0,2.0,2.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-08-16,Aeroflot russian airlines customer review,5.0,Not informed,Economy Class,5.0,False,98,3.0,2.0,2.0,2.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-08-29,Aeroflot russian airlines customer review,8.0,Not informed,Business Class,4.0,True,99,4.0,4.0,4.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-09-03,Aeroflot russian airlines customer review,2.0,Not informed,Economy Class,4.0,True,100,4.0,4.0,4.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-09-05,Aeroflot russian airlines customer review,3.0,Not informed,Economy Class,2.0,False,101,4.0,1.0,4.0,5.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-09-09,Aeroflot russian airlines customer review,5.0,Not informed,Economy Class,4.0,False,102,4.0,1.0,3.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-09-11,Aeroflot russian airlines customer review,7.0,Not informed,Business Class,5.0,True,103,4.0,4.0,5.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-09-23,Aeroflot russian airlines customer review,1.0,Not informed,Business Class,2.0,False,104,3.0,2.0,1.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-09-27,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,105,5.0,3.0,5.0,2.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-09-30,Aeroflot russian airlines customer review,9.0,Not informed,Business Class,5.0,True,106,4.0,4.0,4.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-10-11,Aeroflot russian airlines customer review,5.0,Not informed,Business Class,3.0,False,107,2.0,4.0,3.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-10-11,Aeroflot russian airlines customer review,3.0,Not informed,Business Class,2.0,True,108,3.0,5.0,3.0,2.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-10-29,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,109,4.0,4.0,1.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-10-30,Aeroflot russian airlines customer review,8.0,Not informed,Business Class,4.0,True,110,4.0,4.0,3.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-11-05,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,5.0,True,111,3.0,4.0,3.0,2.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-11-12,Aeroflot russian airlines customer review,10.0,Not informed,Economy Class,5.0,True,112,5.0,4.0,3.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-11-23,Aeroflot russian airlines customer review,8.0,Not informed,Business Class,5.0,True,113,4.0,5.0,5.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-12-05,Aeroflot russian airlines customer review,10.0,Not informed,Business Class,5.0,True,114,5.0,5.0,5.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2012-12-12,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,4.0,True,115,4.0,4.0,4.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-01-02,Aeroflot russian airlines customer review,2.0,Not informed,Economy Class,3.0,False,116,3.0,3.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-01-07,Aeroflot russian airlines customer review,10.0,Not informed,Business Class,5.0,True,117,4.0,5.0,4.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-01-10,Aeroflot russian airlines customer review,9.0,Not informed,Economy Class,5.0,True,118,4.0,4.0,4.0,2.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-01-15,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,5.0,True,119,4.0,4.0,3.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-01-31,Aeroflot russian airlines customer review,5.0,Not informed,Economy Class,3.0,True,120,2.0,4.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-02-15,Aeroflot russian airlines customer review,1.0,Not informed,Economy Class,3.0,False,121,1.0,3.0,3.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-03-04,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,5.0,True,122,4.0,2.0,3.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-03-04,Aeroflot russian airlines customer review,-1.0,Not informed,Economy Class,1.0,False,123,1.0,3.0,1.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-03-18,Aeroflot russian airlines customer review,7.0,Not informed,Economy Class,4.0,True,124,3.0,4.0,2.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-03-19,Aeroflot russian airlines customer review,5.0,Not informed,Economy Class,3.0,False,125,2.0,1.0,3.0,2.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-03-20,Aeroflot russian airlines customer review,7.0,Not informed,Business Class,4.0,True,126,3.0,4.0,4.0,4.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-03-22,Aeroflot russian airlines customer review,8.0,Not informed,Business Class,4.0,True,127,5.0,4.0,4.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-03-27,Aeroflot russian airlines customer review,1.0,Not informed,Economy Class,3.0,True,128,3.0,1.0,4.0,3.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-04-02,Aeroflot russian airlines customer review,-1.0,Not informed,Economy Class,3.0,False,129,4.0,4.0,2.0,1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
2013-04-02,Aeroflot russian airlines customer review,8.0,Not informed,Economy Class,5.0,True,130,3.0,5.0,4.0,-1.0,Not informed,Not informed,Not informed,Not informed,-1.0,-1.0,Aeroflot,Russia,False
