date,header,rating,content,Seat Type,Value For Money,Recommended,id,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Type Of Traveller,Aircraft,Route,Date Flown,Ground Service,Wifi & Connectivity,airline_name,country
2012-12-12,IndiGo customer review,10,Flew Kolkata-Bangalore via Chennai. Flight departed on time the aircraft despite being one of their older ones was clean and well-maintained. The crew were simply superb. Though the catering onboard should improve. The variety is very restricted. We made an early arrival at Bangalore despite a late arrival in Chennai. Will fly them again.,Economy Class,5,yes,40,3,5,2,N/A,,,,,,,IndiGo,India
2012-12-13,IndiGo customer review,9,BOM-DEL-BOM. Early morning departure from Bombay was on time and a good flight. Very full both ways. Good check in services and very courteous staff. Good airline to fly domestic.,Economy Class,4,yes,41,4,5,4,N/A,,,,,,,IndiGo,India
2012-12-25,IndiGo customer review,,I travelled from Bangalore to Jaipur. The leg space between seats was the length of my iPad. If the seat in front is reclined it would hit you face. Very uncomfortable amongst the low cost carriers. Looks like the airline is interested in making money by cramming more seats.,Economy Class,1,no,42,1,3,3,1,,,,,,,IndiGo,India
2013-01-08,IndiGo customer review,10,For the first time my husband and I travelled with Indigo airlines 2 days ago and were very sceptical as it was a budget airline and we had slightly excess baggage. To our surprise from our very first contact with the Indigo airline staff to the end of our trip we were impressed. The lovely young lady at Mumbai airport greeted us with pleasantries checked in our luggage which was a bit above the limit. Once on board on our flight to Singapore we found the seats spacious and comfortable the crew courteous and professional. The inflight service was excellent and reasonably priced. We purchased some spiced chai and cookies that came beautifully packaged in a tin. Regular announcements by the crew were clear and polite. Would gladly travel Indigo Airlines again and highly recommend it.,Economy Class,5,yes,43,5,5,5,5,,,,,,,IndiGo,India
2013-01-08,IndiGo customer review,10,For the first time my husband and I travelled with Indigo airlines 2 days ago and were very sceptical as it was a budget airline and we had slightly excess baggage. To our surprise from our very first contact with the Indigo airline staff to the end of our trip we were impressed. The lovely young lady at Mumbai airport greeted us with pleasantries checked in our luggage which was a bit above the limit. Once on board on our flight to Singapore we found the seats spacious and comfortable the crew courteous and professional. The inflight service was excellent and reasonably priced. We purchased some spiced chai and cookies that came beautifully packaged in a tin. Regular announcements by the crew were clear and polite. Would gladly travel Indigo Airlines again and highly recommend it.,Economy Class,5,yes,44,5,5,5,5,,,,,,,IndiGo,India
2013-02-03,IndiGo customer review,10,I was supposed to fly from Delhi to Mumbai this morning (10.25am) on Indigo but Delhi airport was heavily fogged out and the runway operations had been shut for a few hours. I was not informed of any impending cancellations or delays and proceeded to the airport a normal. Upon arrival I was very politely informed that no departures had taken place this day and Indigo were unsure when departures would take place. They immediately asked me if I would like to take the first available flight on the day but because of the fog and my return on the same evening I declined and requested them if they could delay and reschedule this by a few days later which they happily and professionally did at no extra cost or dreaded penalties. The whole affair was so well handled I was most impressed by Indigo's ground staff. This is one rare gem in the Indian aviation scene.,Economy Class,5,yes,45,N/A,5,N/A,N/A,,,,,,,IndiGo,India
2013-02-12,IndiGo customer review,8,Morning Departure from Mumbai. There was a snaking queue at check -in but the staff were very prompt and I got my boarding pass in 10 mins. Clean aircraft and push back 5 mins ahead of schedule. Landed in Chennai 15 minutes ahead of scheduled time. Good value for money.,Economy Class,5,yes,46,4,5,4,N/A,,,,,,,IndiGo,India
2013-02-25,IndiGo customer review,10,MAA-TRV and TRV-BOM. Easy to use website for online booking and immediate text confirmation to my mobile. Fast courteous check in . New aircraft comfortable seats and departures ahead of schedule. FAs were all smart friendly and attentive. Great fare and an extra 600 rupees (about £7.50) got me a reserved extra legroom seat food and drink. Food was fresh excellent quality and well presented. Everything about this airline was slick and professional with an element of fun. A great experience and highly recommended.,Economy Class,5,yes,47,5,5,5,N/A,,,,,,,IndiGo,India
2013-03-14,IndiGo customer review,9,I flew with Indigo in August 2012. Given the hype about this airline I thought of giving them a try and they didn't disappoint. Website was easy to use. However I wish they'd allow pre-booking of seats at least for a nominal fee. You have to buy 'Indigo Plus' which is meals + seat so if you don't want a meal there will be no seat selection. Aircraft was an A320 and it was in excellent condition. Cabin crew was polite and friendly. Food is available for sale and water is provided in cups free of charge. However there isn't much space between the seats and does feel a little cramped.,Economy Class,5,yes,48,4,4,N/A,N/A,,,,,,,IndiGo,India
2013-04-11,IndiGo customer review,8,Used Indigo BOM-TRV for the first time main reason was no other suitable alternative available. The aircraft was spotless looked brand new and the crew attentive and very polite. Legroom is very limited but I knew that before so I can't complain and for a 2 hour flight I could survive it. Tasty snacks were sold at reasonable prices on board. Flight was on time.,Economy Class,4,yes,49,2,5,4,N/A,,,,,,,IndiGo,India
2013-04-21,IndiGo customer review,9,New Delhi to Thiruvananthapuram via Kochi. Only Indigo has a direct flight in this sector at the time of writing. The flight experience was very good. Fare was cheap as booked early online selected the meal plus seating combination- Indigo Plus. Check-in and boarding was efficient flight departed and reached destination on time as per schedule. Though selected a standard seat on row 3the legroom was very comfortable. The aircraft was new and interior was clean. The only bad thing was the pre booked food booked online wasn't up to expected quality. Not sure whether its because we ordered vegetarian meal.,Economy Class,4,yes,50,4,4,2,N/A,,,,,,,IndiGo,India
2013-05-06,IndiGo customer review,10,Early morning departure from Chennai to Delhi. Boarding process completed before time and on time push back. Clean aircraft with an efficient cabin crew. Landed on time in Delhi. One of the best airlines to fly in India.,Economy Class,5,yes,51,4,5,4,N/A,,,,,,,IndiGo,India
2013-05-13,IndiGo customer review,9,DEL-BLR-DEL. Both legs had a before time push back reached destination 10-15 mins early. Quick professional check-in. Had pre-ordered meals good value for money. Only problem with this airline is that you cannot just pre- book seats meals have to be booked with it otherwise highly recommended.,Economy Class,4,yes,52,4,4,4,N/A,,,,,,,IndiGo,India
2013-05-23,IndiGo customer review,8,"Goa to Bombay. Flight delayed an hour ""due to runway issues"" in Goa. Ground staff very helpful and accommodating and blocked out 2 adjacent seats for us at the front of the aircraft. Aircraft (A320) was clean crew were efficient although a little harried with the buy-on-board meal service given the short flight time. Good value for money and would fly them again.",Economy Class,4,yes,53,4,4,N/A,N/A,,,,,,,IndiGo,India
2013-05-30,IndiGo customer review,,26 May 2013 Jaipur to Chennai. I saw some dirty used cups and wet tissues in the seat pocket in front of me. I highlighted this immediately to the cabin crew whilst boarding was going on. Told it would be cleaned in the next clearance and nothing could be done at that time. I was shocked and surprised with this answer. The cleaning was done in Ahmedabad by ground staff and then the flight took off for my destination Chennai. On time performance took higher importance over cleanliness and hygiene. The attitude of cabin crew was horrible. I will never fly Indigo again.,Economy Class,1,no,54,2,1,N/A,N/A,,,,,,,IndiGo,India
2013-05-30,IndiGo customer review,,26 May 2013 Jaipur to Chennai. I saw some dirty used cups and wet tissues in the seat pocket in front of me. I highlighted this immediately to the cabin crew whilst boarding was going on. Told it would be cleaned in the next clearance and nothing could be done at that time. I was shocked and surprised with this answer. The cleaning was done in Ahmedabad by ground staff and then the flight took off for my destination Chennai. On time performance took higher importance over cleanliness and hygiene. The attitude of cabin crew was horrible. I will never fly Indigo again.,Economy Class,1,no,55,2,1,N/A,N/A,,,,,,,IndiGo,India
2013-06-19,IndiGo customer review,9,Indigo from Mumbai to Goa and return. Flights were packed on both legs. We got emergency exit seats both ways as we asked for them. Great leg room and worth it for the 1 hour flight. Both flights on time. Service good. Planes are clean and they look new unlike many ageing Indian carriers. Value for money.,Economy Class,5,yes,56,4,4,4,4,,,,,,,IndiGo,India
2013-06-21,IndiGo customer review,10,I flew from Delhi to Chennai. Good legroom space and good service by the cabin crew. The flight arrived early.,Economy Class,5,yes,57,5,5,4,1,,,,,,,IndiGo,India
2013-06-23,IndiGo customer review,10,Flew Indigo from Delhi to Bangalore and return. I have used Indigo several times over the years and the years and they have yet to disappoint me. I was particularly amazed at the great customer service and the cabin crew's happy attitude towards the customers. On-ground check in was fast and easy. Transfer from T3 (international terminal) at Delhi to the domestic terminal was a breeze this time around. Super clean planes. Will strongly recommend for travel for domestic flying in India.,Economy Class,5,yes,58,5,5,N/A,3,,,,,,,IndiGo,India
2013-07-31,IndiGo customer review,10,Afternoon departure from Chennai to Mumbai. Flight delayed but informed well in advance. Easy Check in. The aircraft was spotlessly clean. They managed to turnaround the aircraft in 20 minutes. Saw passengers disembarking from the previous flight at the same time when we were bussed to the aircraft which I thought was quite amazing. The cabin crew were very professional and took time to individually ask passengers on the feedback about the flight and quality of service. Will fly them again.,Economy Class,5,yes,59,5,5,4,1,,,,,,,IndiGo,India
2013-08-26,IndiGo customer review,10,DXB-DEL-DXB and was returning with my grandmother who was a wheelchair passenger. DXB-DEL the flight was half full and that allowed a lot of space to stretch out and sleep in comfort and while the outgoing service was excellent the return journey was par excellence. From the moment we arrived at T3 Delhi IGI our every need was met and every question answered with professionalism and friendliness. The ground handling staff member was very friendly and knowledgeable the check in staff at Delhi were very friendly and helpful and the crew of 6E21 provided service that cannot be faulted. I would have no hesitation in travelling with Indigo Airlines again.,Economy Class,5,yes,60,5,5,4,N/A,,,,,,,IndiGo,India
2013-09-10,IndiGo customer review,7,I flew from Pune to Chennai economy class 12.00 noon flight. Friendly staff but bad food and very poor leg space compared to other airlines. Clean toilets staff are helpful and friendly. Will definitely fly with Indigo again.,Economy Class,3,yes,61,2,4,3,1,,,,,,,IndiGo,India
2013-09-19,IndiGo customer review,8,My job requires plenty of flying and I am a frequent user of Indigo. Everything is up to the mark the only thing that bothers me is the legroom I will say that it is really not comfortable. Flying again in November with Indigo.,Economy Class,4,yes,62,4,5,4,4,,,,,,,IndiGo,India
2013-10-07,IndiGo customer review,8,If you are looking to enjoy a comfortable flight then look no further than Indigo. I am quite fussy about my travelling because of which I have completely put my faith in Indigo Airlines. I love the fact that the flights are punctual and the passengers are not made to wait. The flight attendants welcome you with a warm smile and make you feel comfortable. The flights are well maintained and the washrooms are also hygienic. The crew and the management have certainly done a wonderful job in keeping their patrons happy and satisfied. There was plenty of legroom available on-board even though my flight was full. If you are planning to travel with elderly people then do not worry. The staff are extremely friendly. This airline has always been my preference over others. I will strongly recommend their services.,Economy Class,4,yes,63,4,5,4,5,,,,,,,IndiGo,India
2013-10-09,IndiGo customer review,10,Flew from MAA to PNQ on 4th October. Check went on smooth. The flight was on time. The sandwich served onboard was excellent. Very clean and new aircraft. The flight arrived ahead of scheduled time. Overall wonderful experience. I would definitely fly with them again.,Economy Class,4,yes,64,4,5,5,N/A,,,,,,,IndiGo,India
2013-10-13,IndiGo customer review,9,BLR-BOM return. On time departure arrival before scheduled time for both flights. Smooth check-in process and assignment of seats. Clean and spotless aircraft's legroom a bit limited though. Cabin crew very efficient and lot of smiles. Masala tea bought on board was tasty. Bus rides between gates and aircraft. On return leg we were transiting from SIN (different airline) and had excess baggage. They just checked the boarding passes for the international leg and did not charge anything extra as baggage fees!,Economy Class,5,yes,65,3,4,4,N/A,,,,,,,IndiGo,India
2013-10-15,IndiGo customer review,10,Delhi-Bangkok-Delhi. New A320 aircraft's were clean. Since it is a budget airline they are very particular about checked in baggage and charge for every extra kilo. Even some passengers were nasty the flight attendants were friendly. I took my meal from airport so it was better and cheaper than on board. The flights were on time. I would fly IndiGo again!,Economy Class,5,yes,66,3,4,N/A,N/A,,,,,,,IndiGo,India
2013-11-10,IndiGo customer review,10,I booked my tickets through Indigo to travel to my hometown in Kolkata during Diwali. I am impressed with the services provided by Indigo. A320's were clean and spotless with great sitting arrangements and ample leg space.,Economy Class,5,yes,67,5,5,N/A,N/A,,,,,,,IndiGo,India
2013-11-15,IndiGo customer review,8,"DEL-TRV Nov 11. My first Indigo flight. As budget airlines go excellent! Actually strike ""budget""! You get what you pay for and you know what you're paying for and Indigo delivered to a T and with aplomb. New clean airy decor aircraft lovely FAs. And a lovely touch that others could copy: no jetway but instead of steps up they have a ramp so it's easy to get rollers up to the plane. Spent half an hour on the ground at Cochi during which the cabin was well-cleaned (lavatories included) and properly vacuumed. Compare that to Ryanair!",Economy Class,5,yes,68,4,5,3,N/A,,,,,,,IndiGo,India
2013-12-12,IndiGo customer review,5,Pune to Delhi. I had booked my meals under Corporate Plan. I was served food only 15 minutes before the flight was to Land i.e 1.5 hrs after the flight took off. The service started late and then the crew were serving/selling in each row going back to front rows serving water discussing menu options with those buying and chatting amongst themselves. On other airlines food is first served to those who pre-book. After selling to all they don't have many items left for serving. Suggest they keep the standard menu and serve pre booked passengers first.,Economy Class,3,no,69,4,1,1,2,,,,,,,IndiGo,India
2013-12-29,IndiGo customer review,9,6E 427 BOM-MAA and 6E 278 MAA-BOM. Airplanes were clean boarded on time arrived on time (may be even a shade early) crew were friendly and helpful. Food items requested were available and tasty. Only negative is that service on board was slow leaving no time for inflight sales.,Economy Class,5,yes,70,4,5,4,N/A,,,,,,,IndiGo,India
2013-12-29,IndiGo customer review,9,Nov 4 2013. Route: HYD-BLR. I have been a frequent flyer on Indigo over the years and the airline has never failed to deliver. As noted by others here spotless aircraft helpful crew members and on-time service are what set it apart. I recommend the airline to all my friends visiting India from abroad. I'm flying Indigo's international service for the first time next year and am looking forward to the same level of service.,Economy Class,5,yes,71,4,4,4,N/A,,,,,,,IndiGo,India
2014-01-02,IndiGo customer review,3,I flew from Pune to Bangalore on 30th December 2013 on Flt 6E 407. I bought a chicken sandwich for my son and it was awful! I usually fly Indigo Airline because of it's assurance of timely arrivals and departures. I've never had a reason to complain until my last experience. The flight was delayed. But the worst part was that the on board staff was inattentive and didn't even attempt to sell any meals on board. They just served passengers who had pre-booked their meals. When I asked for the chicken sandwich the flight attendant stared at me like I'd asked her to bring me an elephant from the zoo. This is the first time I've been on the receiving end of aloof treatment from Indigo staff.,Economy Class,3,no,72,4,1,1,N/A,,,,,,,IndiGo,India
2014-01-13,IndiGo customer review,8,"MAA-DEL. It's been a few years since I've flown Indigo but for the most part their standards remain very good - easy check-in procedures helpful service with a smile both on the ground and in the air generally on-time clean planes and all for a good price. I decided to try the ""Fast Forward"" service which provides priority check-in and priority baggage delivery for 200 rupees per person. While the services were delivered as promised I found this to be an unnecessary expense as the regular check-in line was very short and baggage delivery in DEL is fast even without the priority tags. The seats however are rather hard and uncomfortable especially if you are trying to sleep. I don't think I'd want to sit in these for more than a couple of hours so consider this if you are considering trying their new international routes. Also they appear to have recently dropped their domestic baggage allowance from 20kg to 15kg per passenger. Excess baggage fees are reasonable if prepaid online but be aware of this especially if you are connecting to an onward international flight.",Economy Class,5,yes,73,3,5,N/A,N/A,,,,,,,IndiGo,India
2014-01-29,IndiGo customer review,10,Flew Delhi-Chennai-Coimbatore in December with family. Check-in was swift and they even allowed little more luggage for our family. I had pre-booked meals and front seats. Non Veg food is served at room temperature which should be provided hot. Staff were friendly and flight was comfortable. I will definitely fly Indigo again.,Economy Class,5,yes,74,5,5,4,5,,,,,,,IndiGo,India
