date,header,rating,content,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Recommended,id,Aircraft,Type Of Traveller,Route,Date Flown,Ground Service,Wifi & Connectivity,airline_name,country
2014-01-13,Lufthansa customer review,10,30 December 2013 Paris to Tbilisi via Munich LH2237 and LH2556. 8 January 2014 Tbilisi to Paris via Munich LH2557 and LH2230. Check-in was easy and pleasant with brilliant ground staff in Tbilisi. On board cabin crew were polite and hard working especially on the MUC-TBS leg on 30 December. Hot food was served in MUC-TBS-MUC segments and it was very tasty both times. Lufthansa and Turkish are recommended airlines for travelers to Tbilisi.,Economy Class,5,5,5,1,5,yes,16,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-14,Lufthansa customer review,8,FRA to ORD. I slept most of the time on board so there was not much I had to complain about. Flight attendants very nice and friendly. Boarding in FRA is always very chaotic. It is much better organized in ORD. LH should handle the boarding procedure for FRA like they do it in ORD. I'd recommend that Lufthansa would send an e-mail notification when the plane changes so that passengers who book early can make sure that they can keep their reserved seat.,Premium Economy,3,5,4,3,5,yes,17,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-14,Lufthansa customer review,9,Frankfurt to Washington Dulles on Jan 8 flight LH418. Return on Jan 10th flight LH419. I have been flying Lufthansa for many years now both professionally and privately. It is not a cheap airline but I admit that I still use it for my private trips because of the impeccable quality of service at all levels. As a Senator passenger I know I get more perks but I see all the time the genuine attention that the staff puts in when dealing with every passenger. After having delt for many years with numerous american airlines I find this very refreshing!,Economy Class,3,5,4,4,4,yes,18,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-16,Lufthansa customer review,8,LH 415 Washington-Munich. 10/11 Jan 2014. Overall very good. Friendly service. Good (new) business class seats. I was surprised that I did not get entry to the Star Alliance Lounge at Washington airport even though I had a business class ticket and being FTL silver.,Business Class,5,5,4,5,4,yes,19,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-16,Lufthansa customer review,10,London LHR - Frankfurt. Quick 1 hour flight. Friendly enthusiastic and chatty crew sandwiches offered and full bar service incl. German sparkling wine and bottled beer even in Economy. All on time perfect.,Economy Class,4,5,4,3,5,yes,20,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-16,Lufthansa customer review,9,ORD-MUC LH 435 Jan 11th. Great Service Food is ok but the inflight entertainment system is pretty bad. Movie selection is rather small and the touchscreen is so unresponsive its a pain to navigate the menu.,Economy Class,4,5,4,1,4,yes,21,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-16,Lufthansa customer review,9,ORD-MUC LH 435 Jan 11th. Great Service Food is ok but the inflight entertainment system is pretty bad. Movie selection is rather small and the touchscreen is so unresponsive its a pain to navigate the menu.,Economy Class,4,5,4,1,4,yes,22,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-17,Lufthansa customer review,8,Dec 21 2013 LH431 ORD-FRA. Efficient and friendly service. The new 747-8 aircraft offers a modern ambience in the Economy class LH standard seats with individual now well-functioned entertainment system but still the usual limited space.,Economy Class,3,5,4,4,4,yes,23,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-20,Lufthansa customer review,10,Flight LH430 was perfect. New Business class seats are really good and comfortable. I've received the upgrade from the economy with no additional costs. Entertainment was ok but sleep on the plane was better and the traveler kit was very helpful. I'll do it again.,Business Class,5,5,5,5,5,yes,24,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-21,Lufthansa customer review,6,It's always a pleasure flying with Lufthansa. The flight LH 490 was ready on time for departure and the crew aboard welcomed all with a smile. The aircraft was new and cleanliness in the cabin was satisfactory. This time there was no aerobridge and the boarding was via bus. This added to a bit of inconvenience to some passengers. The new Airbus cabin storage is comparatively small and passengers had to struggle finding a place to put their carry on luggage. Overall the food and beverages selection was good. I would highly recommend this flight to my family and friends.,Economy Class,4,5,4,5,5,yes,25,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-21,Lufthansa customer review,8,The flight (LH431) was as expected good. The chosen seat was good for my long legs. Departure and Arrival was nearly on time. Only the served breakfast was very poor.,Economy Class,4,4,3,4,4,yes,26,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-22,Lufthansa customer review,10,Flight DUS-MUC in the evening. Short flight from DUS to MUC. Friendly staff free Drinks (water tea coffee wine bear soft drinks) and savory snacks. We left on time and reached MUC about 20 min early.,Economy Class,3,5,5,2,4,yes,27,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-22,Lufthansa customer review,8,Frankfurt - Rio de Janeiro - Frankfurt with Lufthansa on A340. On time smooth decent hassle free and without any problems. Extremely friendly professional and attentive crew on both flights. Cocktails served after take off really nice dinner. Large movie selection on personal screens. 2-4-2 seats making it easier for a couple to sit together. Absolutely nothing to complain if there was not the seat itself: Narrow uncomfortable and one of the worst of all my flights. Unfortunately different from other airlines economy seats.,Economy Class,1,5,5,5,3,yes,28,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-22,Lufthansa customer review,8,LH428. Positives: Smooth trip to U.S. Good service nice entertainment program nice food and drinks. To improve: Seat was in the last row of the plane and I didn't had so much space for my legs.,Economy Class,3,4,4,4,4,yes,29,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-22,Lufthansa customer review,5,LH456 from Frankfurt to Los Angeles. The flight went smoothly and on time (arriving ahead of schedule). No complaints about the flight conditions and service except the performance of the information/entertainment system. The touch screen was not responding thus making the use impossible. I see two main problems - the system is outdated and not properly serviced. However this was a smaller problem for me compared with the failure of the promised Wi-Fi connection.,Economy Class,4,4,3,1,4,yes,30,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-22,Lufthansa customer review,5,LH456 from Frankfurt to Los Angeles. The flight went smoothly and on time (arriving ahead of schedule). No complaints about the flight conditions and service except the performance of the information/entertainment system. The touch screen was not responding thus making the use impossible. I see two main problems - the system is outdated and not properly serviced. However this was a smaller problem for me compared with the failure of the promised Wi-Fi connection.,Economy Class,4,4,3,1,4,yes,31,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-25,Lufthansa customer review,6,LH430 FRA-ORD Jan 20 2014 New 747-8. Seat comfort is inferior to most other airlines on this segment. Loyalty customer treatment (especially in regards to complimentary upgrades) is unacceptable seems non-existent all the way up to Senator (incl.) and might become real only with HON which is super exclusive. Food quality is average and staff attention in economy is also just average. Staff attention visibly improves from business class onwards. Inflight entertainment is a bad joke especially in economy as well as in any 'old' business or first class seat. Tiny monitors that are often defective. Fairly small movie selection. This is way behind the other airlines that LH wants to compete with. Economy seats in the new 747-8 are ok but seat comfort in the first economy aisle seat right behind business class is impacted by staff continuously pushing the blinds against the passengers legs.,Economy Class,3,3,3,3,3,yes,32,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-28,Lufthansa customer review,2,HEL-MUC/FRA-MAD return. I don't like their new loyalty program downgrade. I booked quite high priced booking class ticket last year hoping to earn more miles and to renew my Frequent Flyer status and loyalty with them just to be faced with the fact that earning miles is now 25% - 50% from mileage flown unless you pay full Y or C priced ticket. 23hrs check in before flight is useless 3 of my 4 flights were of change of equipment and I was automatically moved from reserved first Y row seat to the last rows of the bus. Very inconvenient as I had to wait a long time to get deplaned. Their onboard product has downgraded with NEK seat. 2 x 2hr 20min flight segments resulted me back muscle pain. Seat is so thin and narrow making noises when moving on it it is the most uncomfortable way to travel. Their refreshment offering is okay but snacks are inedible - no healthy and fresh options anymore. Cabin crew did their best service was professional with smiles. Lounge access was good as layovers were 3hrs 30min too long. Loyalty for this airline is completely useless for me I will change my loyalty to another Scandinavian carrier with better timetables.,Economy Class,1,4,1,1,1,no,33,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-28,Lufthansa customer review,9,Flight Abu Dhabi-Frankfurt: new business class seats on this night flight an absolute improvement compared to the old seat that is still in use. Wish all Lufthansa long haul seats in this class were already installed! Service on board really friendly and chatty. Nice snack and aperitif after departure good breakfast 1 hour prior to arrival. Could have been served 15 mins earlier but at the same time crew allowed us to sleep longer. Inflight entertainment improved as well a lot. The map/route should have music in the background. The new seat is perfect to sleep completely flat. Amenity kit is a plus. Smooth flight and professional service. A330 10 years old but in perfect condition. Welcome lounge in Frankfurt a nice place to have a shower and another great breakfast after this night flight.,Business Class,5,5,5,4,4,yes,34,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-28,Lufthansa customer review,2,HEL-MUC/FRA-MAD return. I don't like their new loyalty program downgrade. I booked quite high priced booking class ticket last year hoping to earn more miles and to renew my Frequent Flyer status and loyalty with them just to be faced with the fact that earning miles is now 25% - 50% from mileage flown unless you pay full Y or C priced ticket. 23hrs check in before flight is useless 3 of my 4 flights were of change of equipment and I was automatically moved from reserved first Y row seat to the last rows of the bus. Very inconvenient as I had to wait a long time to get deplaned. Their onboard product has downgraded with NEK seat. 2 x 2hr 20min flight segments resulted me back muscle pain. Seat is so thin and narrow making noises when moving on it it is the most uncomfortable way to travel. Their refreshment offering is okay but snacks are inedible - no healthy and fresh options anymore. Cabin crew did their best service was professional with smiles. Lounge access was good as layovers were 3hrs 30min too long. Loyalty for this airline is completely useless for me I will change my loyalty to another Scandinavian carrier with better timetables.,Economy Class,1,4,1,1,1,no,35,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-28,Lufthansa customer review,2,HEL-MUC/FRA-MAD return. I don't like their new loyalty program downgrade. I booked quite high priced booking class ticket last year hoping to earn more miles and to renew my Frequent Flyer status and loyalty with them just to be faced with the fact that earning miles is now 25% - 50% from mileage flown unless you pay full Y or C priced ticket. 23hrs check in before flight is useless 3 of my 4 flights were of change of equipment and I was automatically moved from reserved first Y row seat to the last rows of the bus. Very inconvenient as I had to wait a long time to get deplaned. Their onboard product has downgraded with NEK seat. 2 x 2hr 20min flight segments resulted me back muscle pain. Seat is so thin and narrow making noises when moving on it it is the most uncomfortable way to travel. Their refreshment offering is okay but snacks are inedible - no healthy and fresh options anymore. Cabin crew did their best service was professional with smiles. Lounge access was good as layovers were 3hrs 30min too long. Loyalty for this airline is completely useless for me I will change my loyalty to another Scandinavian carrier with better timetables.,Economy Class,1,4,1,1,1,no,36,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-28,Lufthansa customer review,7,Flew CGN-MUC on a Saturday. Onward flight was nearly empty so you could seat any seat. Two drinks one coffee and one apple juice on a nice Airbus 321. Return flight on the same day was packed so all bins where overloaded. It took ages to board. Got drinks as well crew did a good job for a 55 minutes flight.,Economy Class,4,5,3,1,3,yes,37,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-29,Lufthansa customer review,7,LH429 CLT-MUC A330: Flight very cold but service food and beverages ok. New Policy for Miles a little bit complex for economy class: too many classes and you can't select the right one when you book a flight.,Economy Class,3,5,5,5,3,yes,38,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-29,Lufthansa customer review,8,LH419 January 23. Washington to Frankfurt. Plane was half empty so it was a very smooth and quiet ride. Always pretty satisfied with the efficiency of Lufthansa although they could improve the quality and seating space.,Economy Class,3,4,3,3,4,yes,39,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-31,Lufthansa customer review,9,26/1/2014 LH 438 Frankfurt - Dallas. Very dedicated service and personnel when the cabin is not full service becomes slow when Fist Class is fully booked as there only is one person serving. Great Food and wine section and good media service. Still too many planes around which have the old setting in place not on the last trip which was great.,First Class,5,5,5,4,4,yes,40,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-31,Lufthansa customer review,9,26/1/2014 LH 438 Frankfurt - Dallas. Very dedicated service and personnel when the cabin is not full service becomes slow when Fist Class is fully booked as there only is one person serving. Great Food and wine section and good media service. Still too many planes around which have the old setting in place not on the last trip which was great.,First Class,5,5,5,4,4,yes,41,,,,,,,Deutsche Lufthansa AG,Germany
2014-01-31,Lufthansa customer review,7,Boston to Munich LH425. Reliable friendly in-flight and check-in staff. Poor SMS system for flight updates. One SMS informs customers that the flight is late another one about 1.5 hours later told customers the flight will be on time. When arriving at the airport it was late again. They are still doing averagely when it comes to pampering of their top status customers. There is hardly ever a complimentary upgrade while my US colleagues on US carriers get upgraded 75% of the time on long haul flights.,Economy Class,3,4,3,3,4,yes,42,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-03,Lufthansa customer review,9,Sao Paulo to Frankfurt and on to Madrid. Checked in for my flights and was treated in a courteous and friendly manner. Chaos at Guarulhos due to the construction work ahead of the World Cup. Our gate remained occupied by a TAP A340 with a delayed departure leading to being bussed to our 747 parked at a remote stand. Pushed back from the stand about 1.5 hours late and waited in a long line for take-off. Nice reception on-board and seated in a center aisle with the middle seat free. The service was excellent and the food of a decent quality with the usual drinks and wine of your choice. I have to say that I find the LH business class seat lacking in comfort and as it doesn't go flat is quite hard to find a comfortable sleeping position. It is time for a revamp of that seat. The entertainment selection is good and I particularly like one of the radio channels. Headsets are decent but not up to the Bose quality used by other carriers. This is an 11 hour flight so plenty of time to relax. Breakfast was good and I find the cabin crew to be of a consistently high standard. Fix that seat and this is a very competitive product.,Business Class,3,5,5,5,4,yes,43,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-03,Lufthansa customer review,7,I took the flight to Orlando from Frankfurt and back from Charleston to Munich. Sufficient space in Economy. There could be some better variation in food selection. Free drinks is much appreciated. Inflight entertainment could do with a wider selection of recent movies.,Economy Class,4,4,3,3,4,yes,44,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-04,Lufthansa customer review,1,As a very regular customer of Lufthansa I am normally a fan and very happy with the service they offer and provide. Unfortunately my last flight: Frankfurt/Los Angeles (LH 456) was an exception. Having been offered a complimentary upgrade to Business Class at the gate I was then downgraded on board back to Economy with minimal apology nor effort to find a suitable alternative. (I understood the issue as the Business Class seat had in fact been sold to a passenger on Business Class standby but given my status and the value of business I give LH every year it was disappointing). On this occasion the situation was made worse by a particularly difficult neighbor and some average service on board. As I said not a normal experience with Lufthansa but frustrating all the same.,Economy Class,1,1,3,3,3,no,45,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-04,Lufthansa customer review,1,As a very regular customer of Lufthansa I am normally a fan and very happy with the service they offer and provide. Unfortunately my last flight: Frankfurt/Los Angeles (LH 456) was an exception. Having been offered a complimentary upgrade to Business Class at the gate I was then downgraded on board back to Economy with minimal apology nor effort to find a suitable alternative. (I understood the issue as the Business Class seat had in fact been sold to a passenger on Business Class standby but given my status and the value of business I give LH every year it was disappointing). On this occasion the situation was made worse by a particularly difficult neighbor and some average service on board. As I said not a normal experience with Lufthansa but frustrating all the same.,Economy Class,1,1,3,3,3,no,46,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-05,Lufthansa customer review,9,"Frankfurt-Abu Dhabi-Frankfurt booked a special for 429 Euro in September flew in January - a 6 day trip. Excellent value for money. New A330 cabin with improved seats in economy class and brand new wireless inflight entertainment system which means no more entertainment box under the seats and therefore more legroom. System with good responsiveness high definition and you can even use your own headphones (""one plug""-system). Flight information system with satellite views is great! WIFI on board for extra cost available on most time of the flight. Staff service as always on Lufthansa efficient friendly correct and professional. Meals decent (1 hot meal 1 sandwich service) wide range of free (even alcoholic) drinks friendly welcome in the galley for more drinks. Hot towel service is always welcome. Only organization of boarding in Abu Dhabi should be improved too narrow waiting lounge for two flights at the same time. Both flights ahead of schedule.",Economy Class,4,5,5,5,5,yes,47,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-05,Lufthansa customer review,9,LH 435 Chicago - Munich. January 30 2014. Nothing to complain about flight was on time on board service in general was good however the only point I can complain about is that breakfast could have been better. I suspect that the reason for the quality of breakfast below what one could be expect from Lufthansa is that on flights from the US to Europe catering is done by a US company hence the quality of bread is quite poor.,Economy Class,5,5,3,5,4,yes,48,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-07,Lufthansa customer review,2,LH 457 from LA to Frankfurt Boeing 747 - Seat 35H: There was no space for my feet under the seat because there was a metal box under the seat in front of 35H. For a long distance trip this is not acceptable!,Economy Class,1,3,3,5,5,no,49,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-11,Lufthansa customer review,9,LH 435 ORD-MUC 2/6/2014-2/7/2014. Good flight. I was lucky that the seat next to me was empty so I had more space. Otherwise the seat would have been really small. Service staff friendliness punctuality were all better than on previous flights with other airlines.,Economy Class,3,4,4,5,4,yes,50,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-12,Lufthansa customer review,9,I flew from Philadelphia to Frankfurt. Plane was old Airbus A340-300 interior being in clean and good shape. Business having own check-in was nice staff being polite except supervisor having an argument with a customer at next counter. Almost better than real TV. For Business Class passengers there was own boarding lane. At Cabin boarding drink with choices were offered. Business class has lie flat seats but not latest fully flat yet. According to my knowledge Lufthansa is installing new fully flats on their fleet. During flight the service was nice first with cocktail and snacks. 15min later came food service with appetizers with choices. From three warm choices you can choose your main course. Wines were good and I slept rest of the flight comfortably and missed breakfast service.,Business Class,4,5,5,4,5,yes,51,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-13,Lufthansa customer review,10,LH 429 Jan 31 2014 CLT to MUC. LH 428 Feb 8 2014 MUC-CLT. The service is excellent the crew polite and nice. No significant delays. Food is reasonably good for airline food. We certainly wouldn't choose a different airline to cross the Atlantic.,Economy Class,4,5,5,5,5,yes,52,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-14,Lufthansa customer review,6,LH418 FRA-IAD 8 Feb. It was a rather comfortable flight in a not too fully booked Economy Class cabin. My major issue with this flight was about the internet connectivity on board. Unfortunately again FlyNet did not work at all. It has become a rather unreliable service over the last few months. Seating comfort on the new 747-8 is rather good nevertheless when someone sits next to you in Economy it is really a challenge to survive a long-haul flight. The distance to the front seat could be improved but most likely will not. Again I have to point out that as a Lufthansa status customer (Frequent Traveller Star Alliance Silver) I am being treated better by United (complimentary upgrade to Economy plus priority boarding priority luggage) than by Lufthansa.,Economy Class,2,5,4,3,3,yes,53,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-14,Lufthansa customer review,10,LH418 Feb 9 2014. As a frequent flyer (and holding Senator status with the Star Alliance) I prefer to fly with Lufthansa and its Star Alliance partners as they offer me the best routes to get me to my destination. On every flight I experienced good service the crew handled any extra requests with a smile.,Economy Class,4,5,5,4,5,yes,54,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-17,Lufthansa customer review,3,ORD-FRA-DEL. A typical mixed bag of service. ORD-FRA was supposed to be on 747-8 and I booked this flight specifically for this aircraft but they downgraded to normal 747 in the last minute. This caused chaos in ORD as they were short 16 business class seats all passengers had to be reassigned their seats which caused my family to be split up and in middle seats - at several thousand dollars each we were not happy. Crew tried their best but no one would move and we were seated all over the cabin. Food was mediocre at best on this route and angled seats did not provide for great sleeping. Entertainment a joke when compared with new United system or with EK/SQ with basically 10 movies 3 of which were >10 years old. FRA-DEL on 747-8 and much better with much nicer crew and flat seats. Departure time from FRA is not ideal as arrival is at 2am compared to 10.30pm with other airlines. Arrival at DEL was a mess with business and first class bags off-loaded last which annoyed premium paying passengers. Only highlight really was LH Senator Lounge in FRA which was very nice. For the price paid I would try another carrier.,Business Class,3,4,2,2,2,no,55,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-18,Lufthansa customer review,8,Flight 457 from Los Angeles to Frankfurt was delayed due a technical problem. Unfortunately there was no assistance for me at the arrival gate since my flight connection was half an hour later I had to rush pass again through the security check and immigration. I arrived breathless at the gate of my flight to Florence where we were told that they had to change the aircraft due to a technical problem. I had to wait for another hour. Concerning the service on board and the aircraft (a new B747-800) I have nothing to complain about.,Economy Class,3,4,3,3,3,yes,56,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-18,Lufthansa customer review,9,LH431 from ORD to FRA. These long haul flights now have wifi which was a pleasant surprise. Apart from that the cabin was not particularly full which made it easy to put the bag under the seat next to me etc. I suspect the comfort would be diminished if it was otherwise. Apart from that no other surprises the food was good the staff polite the flight was on schedule.,Economy Class,4,5,4,5,3,yes,57,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-20,Lufthansa customer review,10,Feb 18 2014: Lufthansa - LH1817 - Barcelona (BCN) to Munich (MUC). This segment was part of a five flight itinerary with United Airlines a review of which can be found under their name. This particular Lufthansa experience was as always superbly efficient on the ground in both Barcelona and Munich. Navigating airports at either end was a breeze and the embarkation and disembarkation process easy and smooth. The flight itself had both an on-time departure and arrival and the in-flight service was as expected superb and efficient as one would expect from Lufthansa. Always a treat to fly with Lufthansa and will continue to do so whenever possible.,Economy Class,5,5,5,5,5,yes,58,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-20,Lufthansa customer review,8,LH 410 MUC to JFK 1st Feb 2014. The flight was fully booked but it was ok. Crew very friendly. Since I was sitting at rear I had only one meal left to choose. The space for my feet was very limited because of some mounted housings under the seat in front. Too little space to place something like a bottle of water and a book. Plane was new and in good shape.,Economy Class,3,5,4,5,4,yes,59,,,,,,,Deutsche Lufthansa AG,Germany
2014-02-21,Lufthansa customer review,6,Unfortunately we were unable to use the online check-in service on the Lufthansa homepage. This service is apparently unavailable when you have a connecting flight in Los Angeles (LAX to FRA) and come from the Big Island of Hawaii - Kona Airport for that matter - meaning that our 4 tickets were scattered all over the plane. Luckily this problem could easily be solved by a friendly member of the Lufthansa ground staff in LA. The flight from LA to Frankfurt was okay overall seats on the 747-8I are not the most uncomfortable though a little too lightly padded. Dinner and Breakfast were offered - both were quite good. The inflight entertainment featured some of the latest movies in various languages (sadly variety was not that great) the flight attendant were generally nice. We would recommend Lufthansa.,Economy Class,3,4,4,4,4,yes,60,,,,,,,Deutsche Lufthansa AG,Germany
