date,header,rating,content,Seat Type,Value For Money,Recommended,id,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Aircraft,Type Of Traveller,Route,Date Flown,Ground Service,Wifi & Connectivity,airline_name,country
2011-02-02,Aeroflot Russian Airlines customer review,7,Moscow to Seoul with Aeroflot. I had trouble at Moscow Sheremetyevo airport at check-in on 27th January my seat booking could not be found even though I had rung the day before and was assured I had a confirmed seat. I was sent to Domestic terminal D to a Korean Air office that did not exist - I rang the airline and again was told my seat was booked and confirmed and after going to the service desk at Terminal D being yelled at by a charming girl I did receive help and a man from Aeroflot escorted me back to Terminal F. I had 4 attendants then check me in and one was waiting at the gate to see that I was OK and to tell me to checkin again at Seoul for my flight to Sydney. The flight was fine food was good and the service was fine. Russian airports are very difficult at the best of times I only speak a little Russian but I have travelled with Russians and it is also difficult when there are problems for them as customer service is terrible one. Russia is not a country where it is easy to travel - at airports there is often no trolleys no one who speaks English and rude service.,Business Class,1,yes,11,,,,,,,,,,,Aeroflot,Russia
2011-02-06,Aeroflot Russian Airlines customer review,7,Kiev-Moscow-JFK. Experienced more of the same disorganization that I saw on my previous flights. I have found that flight attendants to not enforce the rules because they are half the size of their very pushy customers. Flight smooth except for passengers attempting to remove heavy bags and dragging every other object out of the overhead with it. Upon landing in JFK we were delayed getting to our gate. While we were stopped passengers got up and got their bags and raced for the exit. There was no effort made to stop them because of the size difference with the FA's. Plane was new and seats were reasonably comfortable. I feel sorry for Aeroflot staff having to deal with stubborn and highly combative passengers. Aeroflot tickets are cheap enough to entice me to fly with them again even if the passengers act like a mob.,Economy Class,1,no,12,,,,,,,,,,,Aeroflot,Russia
2011-02-11,Aeroflot Russian Airlines customer review,,Beijing- Moscow. The customer service is appalling! Unfriendly unhelpful and rude staff! Tried to call service helpdesk in Moscow and no one would answer the phone or speak sufficient English. They have a long way to go to improve customer experience.,Economy Class,1,no,13,,,,,,,,,,,Aeroflot,Russia
2011-02-14,Aeroflot Russian Airlines customer review,2,Moscow to Vladivostok. The worst flight I ever had  chose economy as biz class is a rip off for domestic flight - service is terrible. I called many time the hostess for a glass of water during the night - no one came. No need to talk about food it was terrible. Service is like the food. My last experience with this airline (beside the one hour flight to St Petersburg I do regularly) I don't understand how they can be SkyTeam member.,Economy Class,1,no,14,,,,,,,,,,,Aeroflot,Russia
2011-02-15,Aeroflot Russian Airlines customer review,2,At Beijing we had about 2 hours of delay boarding an aged B767. After another 45 minutes captain said sorry today we do not fly: the plane is broken. By about 0430 in the morning the Aeroflot airport staff said to me that I must spend my night with an unknown other traveller. After having been sent to the miserable hotel at about 1330 next day I was able to leave Beijing to Moscow with a better A332 aircraft. Staff is incompetent and very rude. They just don't know a word of English and if you have a problem it remain a your problem. They have to learn a lot.,Economy Class,1,no,15,,,,,,,,,,,Aeroflot,Russia
2011-02-28,Aeroflot Russian Airlines customer review,8,BKK to Madrid via Moscow. Except for a bottleneck at Moscow airport the return flights were okay - good food limited inflight entertainment reasonably pleasant cabin staff. I would fly with them again if they continue to offer their low prices. The bottleneck at Moscow - transit passengers had to go through one security machine - completely inadequate for the number of passengers.,Economy Class,1,yes,16,,,,,,,,,,,Aeroflot,Russia
2011-03-04,Aeroflot Russian Airlines customer review,7,KBP-SVO and consider it the best option between Kiev and Moscow. I was promised 500 miles for online check in which didn't work. Airport check in a breeze. Boarding was chaotic A321 spotless with good seat pitch. Fast baggage delivery. Onboard experience was somewhat spoilt with inedible breakfast snack and young crew members who looked lost and helpless. English announcements were hard to comprehend.,Economy Class,1,yes,17,,,,,,,,,,,Aeroflot,Russia
2011-03-06,Aeroflot Russian Airlines customer review,4,Bangkok to Budapest through Moscow. The plane leg room and food were ok nothing too great but adequate. Entertainment is rather limited especially when you are offered the same films on the way back. Passengers were sober and quiet but they did not react security calls and moved around cabins in a random manner. A huge queue to go through a single transit desk in Moscow. One machine - a real embarrassment. Airport is a 19th Century with coffee costing £5. We needed some help with finding a gate. I approached 6 airport staff - all were abrupt rude and unhelpful (I am bi-lingual and tried both languages). Staff in the plane were polite but still no smiles as in other airlines. There were numerous delays in all locations. I have to say that the price was very good so will go again. Please smile more and show more films.,Economy Class,1,yes,18,,,,,,,,,,,Aeroflot,Russia
2011-03-10,Aeroflot Russian Airlines customer review,5,BKK-SVO-CDG. Long lines slow and chaotic check-in at BKK. Planes spotless and economy seats reasonably comfortable. Crew did not stop passengers from standing up and opening the overhead compartment while taxiing. Onboard service was minimal. BKK-SVO crew performed their duty but without smiles. SU does not serve alcohol on economy class for the BKK-SVO route. Onboard food has nothing special to mention about. Limited drinks and entertainment choices. SVO transit security checks extremely slow since there was only one counter. SVO has been renovated since I last passed through this airport. I did not expect much and the ticket was the cheapest!,Economy Class,1,yes,19,,,,,,,,,,,Aeroflot,Russia
2011-03-23,Aeroflot Russian Airlines customer review,8,Brussels-Moscow-Beijing and back. Arrived in Moscow 15 minutes late but departure to Beijing was one hour late. Reason (de-icing of the aircraft) was announced. A320 on the Brussels- Moscow stretch older B767 on the Moscow-Beijing stretch. Service onboard was correct and friendly and meals of decent quality. I feel that good quality was offered given the very low fare.,Economy Class,1,yes,20,,,,,,,,,,,Aeroflot,Russia
2011-03-24,Aeroflot Russian Airlines customer review,8,Amsterdam-Moscow-Beijing and back. Friendly staff good meals and good seats. Only in the flights from Amsterdam to Moscow and back is no inflight entertainment. IFE Moscow - Beijing good and a lot of choices of music movies. We had friendly staff even smiles sometime. Meals good different and good quality. A few little delays but nothing more then a few minutes. One problem is that we fly on the old terminal F the people are rude and unhelpful but the new terminals are better.,Economy Class,1,yes,21,,,,,,,,,,,Aeroflot,Russia
2011-04-03,Aeroflot Russian Airlines customer review,8,Geneva to HK via Moscow. Aeroflot was good for the given price. The customer service was up to the mark (eg. I didnt confirm veg meal while booking but attendant once informed remembered to bring me veg meal with a smile). I found it to be a cultural thing with the russians which you should be open enough to accept it. Things can be little chaotic at Moscow airport. Check which airplanes they are flying on given routes and make booking accordingly - Airbus they had were new.,Economy Class,1,yes,22,,,,,,,,,,,Aeroflot,Russia
2011-04-10,Aeroflot Russian Airlines customer review,,The service at SVO airport is horrible. I flew to Copenhagen by SAS flight 8700 operated by Aeroflot. The agent wanted to charge me for the excess baggage. I tried to explain to her that on a code sharing flights I am governed by the rules of SAS not by Aeroflot rules. But she did not want to listen repeating again and again that she knew the rules. Eventually after a long verbal exchange she called the authorities and found out that I was right. In the Aeroflot lounge - which I was entitled to use in lieu of SAS lounge - the employee on duty refused to let me in. She sent me to the other end of the airport where the people sent me to another lounge and each refused to let me in. The employees of the Aeroflot as it turned out did not know their own airport: they did not know any telephones to call nor they had any directories at and they did not know even the telephone of their own lounges in different part of the airport nor were they able to provide any reasonable assistance. Eventually at my insistence one of the supervisors after calling around for 10-15 minutes found out that I was indeed eligible to get into the very first lounge. The same girl who did not allow me in eventually had to call and find out that she was wrong. She never apologized. In fact all the personnel there turned out to be so rude and incompetent.,Economy Class,1,no,23,,,,,,,,,,,Aeroflot,Russia
2011-05-14,Aeroflot Russian Airlines customer review,2,Hamburg to Tashkent via Moscow and not impressed with Aeroflot. Plane interior was old and not very clean. Entertainment not existing on both flights. Inflight magazine only in Russian. Food was tasteless and choice of drinks is very limited (one drink on 3-4 hour flight and only choice between orange and tomato-juice and Cola or sprite. No alcoholic drinks served or sold. All in all a very disappointing experience!,Economy Class,1,no,24,,,,,,,,,,,Aeroflot,Russia
2011-06-03,Aeroflot Russian Airlines customer review,9,Moscow SVO-Astrakhan ASF-Moscow SVO outward by Aeroflot inward by Nordavia. Access to SVO is tiresome but airport is first class : easy clean and helpful. Both flights on time. Aeroflot a new Airbus Nordavia an old 737. Pilot information good cabin service impeccable light food dull but adequate.,Economy Class,1,yes,25,,,,,,,,,,,Aeroflot,Russia
2011-06-05,Aeroflot Russian Airlines customer review,10,I use Aeroflot pretty often on my flights from Los Angeles to Moscow and domestic flights to Russian Far East. Food is great new A330-200 entertainment systems are very good with a big choice of movies. I am loyal to SkyTeam and was forced to used Delta a few times on my journeys to Russian. I realize that Aeroflot staff do not smile always but other things compensate for it. I'd rather not be hungry and bored with okay staff then be hungry and bored onboard of Delta planes.,Economy Class,1,yes,26,,,,,,,,,,,Aeroflot,Russia
2011-06-19,Aeroflot Russian Airlines customer review,9,SVO-HKG (return) in April 2011. I decided to take this trip because Aeroflot recently replaced old fleet on this route with new Airbus A330 and because ticket was quite cheap. The plane is really good food and service are good too. On both legs boarding was efficient and flights arrived on time. The drawback is departing from old terminal F while most Aeroflot flights depart from new terminal D. Check-in and security are much easier in D.,Economy Class,1,yes,27,,,,,,,,,,,Aeroflot,Russia
2011-06-26,Aeroflot Russian Airlines customer review,8,FRA-SVO-OVB. New and spotless A320 plane. Comfortable seats and decent food on both legs. Colleagues had warned me about SVO but found Terminal D in SVO to be first class: very efficient good signage good services. Both planes late by 30 mins but that's about the only negative thing I can say. All in all a good value for money.,Economy Class,1,yes,28,,,,,,,,,,,Aeroflot,Russia
2011-07-11,Aeroflot Russian Airlines customer review,1,"New York-Moscow to Delhi return. On our way to Moscow we found the flight attendants to be rude and unhelpful (and of course not smiling). During the 7 hr layover we became concerned about the mere 1 hr layover on our return trip. It sounded good when we booked it but realizing that we would have to run through security and the length of the airport to get to our flight we didn't think it would be possible. We stopped to ask a woman behind a customer service desk and she said ""yes not enough time"" waved her hand at us and we were dismissed. Getting onto the plane to Delhi we realized our seats were not together. We once again tried to get an answer and was ignored. Very unhelpful and rude. For the return flight we had to change flights in the office in Delhi. Come to find out that there was another flight out of Moscow with a 3 hour layover. We switched to that flight. The office workers in Delhi were also cold and rude. As it turns out by the time we landed from Delhi in Moscow and got to the terminal to fly out that 1 hour layover flight had already left. We would have been stranded in Moscow for who know how long because nobody would have acknowledged our existence let alone get us onto a flight. Oh and did I mention I had ordered veg. meals? On the way to Delhi I did receive delicious meals on the return flights no such luck. I had bread.",Economy Class,1,no,29,,,,,,,,,,,Aeroflot,Russia
2011-07-18,Aeroflot Russian Airlines customer review,8,SVO-BKK in Business Class and was quite surprised. Flight attendants are 40+ ladies but cool and friendly food was very good even though it was a low calorie pre-order meal. The plane was without individual IFE but we received portable movie players with a decent selection. Overall on-board experience was great while airport experience was so-so. Business lounge at Sheremetyevo airport was awful with plastic forks almost no food available no A/C. Aeroflot Business Class is a very good value for money.,Business Class,1,yes,30,,,,,,,,,,,Aeroflot,Russia
2011-07-27,Aeroflot Russian Airlines customer review,8,Omsk-Moscow-St Petersburg. Small problems with check-in at Omsk and only received one boarding pass. Breakfast was good and the service leisurely for a 3 hrs plus flight. Plane was full and the flight left and landed on time. Was surprised that they had an English language paper on board. This is an improvement on previous internal flights. Moscow-St Petersburg is a short 80 min flight and received a quick and light second breakfast which was just adequate for this flight. Again the flight left and landed on time.,Economy Class,1,yes,31,,,,,,,,,,,Aeroflot,Russia
2011-07-28,Aeroflot Russian Airlines customer review,10,I flew Moscow SVO to Helsinki with Aeroflot I'm very happy with the service very helpful staff. Spacious Economy Class and a very good value for more than an hour flight. No delays on time.,Economy Class,1,yes,32,,,,,,,,,,,Aeroflot,Russia
2011-07-28,Aeroflot Russian Airlines customer review,10,Moscow-Volgograd round trip on new and clean 737 & Airbus 330 planes. Check-in and inflight service was excellent in spite of our very limited Russian skills. Good inflight meals at no charge. We had switched our overseas flight from Aeroflot to Delta because of poor Aeroflot reviews (should not have done that). The return Moscow-JFK Delta flight was 3 hrs late causing many on the plane to miss connections at JFK while two Aeroflot planes left on time and made their connections. SVO terminal was beautifully clean modern and bilingual with efficient service in stark contrast to the poor arrival image given by JFK.,Economy Class,1,yes,33,,,,,,,,,,,Aeroflot,Russia
2011-07-31,Aeroflot Russian Airlines customer review,6,Aeroflot are not a bad airline though I do feel that for the most part it's fleet and it's service offerings are several years behind those of the competition. I flew Barcelona - Moscow and was swayed by the price. The first leg was in a fairly new airbus A319 with comfortable seats and a clean interior. The only thing of note was the general demeanour of the crew who did nothing to make me feel welcome and were almost hostile in their dealing with the passengers. The pre-flight safety demonstration was multi-language and clear and I found most of the crew spoke English with no problem. In flight refreshments offered were a variety of fruit juices only. Alcoholic drinks are not available though after almost pleading I did get a diet coke. The meal was among the worst I have tasted in my many years of flying. The second leg Moscow-Shanghai was a real eye opener. The Aeroflot website shows that this flight is operated using one of its newer A330 aircraft with in seat entertainment but checking the entertainment listings I found that they been updated for 4 months. Not important of course but an indication of the haphazard approach to service. When I actually boarded I found that the flight is actually operated by (and has always been) by one of the airlines older Boeing 767 aircraft. Aeroflot Boeing 767's are much older than the rest of their fleet and come with little in the way of comfort or amenities. None of our seats or others around us would recline more than 2 or 3 cms. Walking up and down it was clear that no seats offered any noticeable ability to recline. They also had no adjustable headrests. All in all it was a very uncomfortable 11 hour flight. Added to the discomfort was the fact that there was no personal entertainment offered. The aircraft used the old system of large screens placed above the seats around every 10 rows. There were movies played - in Russian often with English subtitles however the quality of the screens and the placement made it an unpleasant experience. Once again the refreshments and food were very disappointing. The omelette breakfast was the only edible thing I had all other food was very poor. The staff on this second flight were more attentive than those previously. My return journey was merely a reverse of the outbound - equally as uncomfortable and equally poor food. The only significant difference was that I had coffee poured over me by one of the cabin crew who gave me a towel to dry my now soaking trousers but still failed to apologize or help in any other way and finally they lost my luggage and once located failed to get it to me for almost a week.,Economy Class,1,no,34,,,,,,,,,,,Aeroflot,Russia
2011-08-02,Aeroflot Russian Airlines customer review,7,Hong-Kong-Moscow and Moscow-Shanghai. I have to say out of all international airlines I've flown Aeroflot is the most out of date with their entertainment technology. The seats while old were leather and soft and I slept for the first time on a flight. Hong-Kong to Moscow was 1.5 hrs late due to winter storms. Trip to Shanghai was on time and the plane almost empty so every passenger could occupy an entire row. The food was average and the staff do not smile but that's just the culture. I would fly with them again one of the better airlines in the cheaper price bracket.,Economy Class,1,yes,35,,,,,,,,,,,Aeroflot,Russia
2011-08-21,Aeroflot Russian Airlines customer review,9,Paris CDG to Beijing Capital via Moscow Shemereteyevo. All flights were on time with good service on board. Inflight entertainment includes several films in French and meals were good. We flew A319 320 and 330 all in good condition.,Economy Class,,no,36,,,,,,,,,,,Aeroflot,Russia
2011-08-24,Aeroflot Russian Airlines customer review,6,Moscow-Delhi Economy. Cabin almost full helpful and smiling stewardesses despite demanding passengers regarding their choice of meals. Missed a glass of wine but no alcohol on this segment.,Economy Class,,no,37,,,,,,,,,,,Aeroflot,Russia
2011-09-06,Aeroflot Russian Airlines customer review,1,Delhi-Barcelona. I could not check-in online so called up the airlines to find my flight was re-scheduled. My connecting flight had been rescheduled so that my transit took 24 hrs and they wouldn't provide any sort of accommodation. Moscow airport contains narrow corridors with duty free shops food must be paid with Russian money. There was free Internet but only in a few places with low wifi signal. Plane food was bland and mediocre. Average service.,Economy Class,,no,38,,,,,,,,,,,Aeroflot,Russia
2011-09-07,Aeroflot Russian Airlines customer review,,Heathrow to Shanghai via Moscow. London-Moscow flight was pleasant on a modern plane with plenty of leg room and as a short haul flight works well. However from landing in Moscow to reaching Shanghai was awful. Transit through Moscow is embarrassing - one desk with rude and unpleasant staff. I advise you to run off your plane if you have a quick connection because I have no doubt that they don't co-ordinate transit passengers and the plane would leave without you no effort made to fast-track those with short connections. One desk one security machine. The plane from Moscow to Shanghai was late and outdated with less legroom than the short haul flight from London no entertainment and food that was awful. Unfriendly cabin crew. Everything that could go wrong did go wrong. Yes it is cheap but there is a reason why it is cheap.,Economy Class,,no,39,,,,,,,,,,,Aeroflot,Russia
2011-09-10,Aeroflot Russian Airlines customer review,9,Istanbul-Moscow-Tokyo (Narita) Economy. Was not expecting much when I purchased the cheapest one way ticket I could find. Check-in at Istanbul despite having a 20 mins wait was friendly and easy. Flight to Moscow delayed 30 mins but the cabin interior was clean and brand new if a bit spartan (no inflight entertainment). Still the seats were comfy and the flight attendants courteous. Moscow-Tokyo leg was great. The seats were comfortable flight attendants friendly and everything went smoothly. My only real complaint is that the choices on the inflight entertainment on this leg were slim but at least it was there.,Economy Class,,no,40,,,,,,,,,,,Aeroflot,Russia
2011-09-18,Aeroflot Russian Airlines customer review,7,LHR-Moscow. On arrival asked if possible to have an exit row seat. Was advised of a €45 charge which was then waived which was a nice start. Aircraft then boarded one hour late and one hour taxi/waiting to take off which made it 2 hrs delayed. Cabin crew efficient but poor command of English. Good leg room/comfort with food as expected on an Economy ticket although alcohol has to be paid for.,Economy Class,,no,41,,,,,,,,,,,Aeroflot,Russia
2011-09-19,Aeroflot Russian Airlines customer review,9,LED-SVO. During this one hour journey the crew managed to serve newspapers drinks (with coffee/tea) plus a nice sandwich. New A320 everything went smoothly. Recommend on this busy route between 2 Russian main cities.,Economy Class,,no,42,,,,,,,,,,,Aeroflot,Russia
2011-09-25,Aeroflot Russian Airlines customer review,8,Seoul-Moscow-Warsaw return. Great fare (just 845USD roundtrip) great food onboard. Some delays on both legs but that didn't bother me much. Good news is that Moscow airport has been renewed Wi-Fi and clean air (smoking allowed only in special cabins). They've banned alcohol on board so no more drunk passengers and fights for seats!,Economy Class,,no,43,,,,,,,,,,,Aeroflot,Russia
2011-09-25,Aeroflot Russian Airlines customer review,10,I just returned from a tradeshow in the Ukraine. Aeroflot offered the best fare and connections from Nice (via Moscow) so I took a chance - begrudgingly. Brand-new airbus aircraft smiling cabin crew leather seats and plenty of legroom. The crew came and greeted me to thank me for flying them - a nice touch. The food was good - even in Economy. Shrimp smoked salmon a lovely cod dish - very unexpected.,Economy Class,,no,44,,,,,,,,,,,Aeroflot,Russia
2011-10-13,Aeroflot Russian Airlines customer review,9,Moscow DME to Saint Petersburg. Check in was easy. Friendly smiling cabin staff who could communicate at a basic level in English. They passed out candy before takeoff and a mid-flight snack of tea/coffee apple juice and some sort of wafer dessert - distributed newspapers as well. Seating was comfortable with plenty of room.,Economy Class,,no,45,,,,,,,,,,,Aeroflot,Russia
2011-10-16,Aeroflot Russian Airlines customer review,7,BRU-SVO-LED PEK-SVO-BRU. Short haul flights with A320. Lots of legroom new planes. Long haul flight with new A330-300 legroom ok but bad seats who got pretty painful after a while good IFE with pretty good selection of movies. General comments : staff is good but not too enthusiastic. Food average. You have to pay for alcoholic drinks on long haul flights (alcohol banned on some flights).,Economy Class,1,yes,46,1,1,1,1,,,,,,,Aeroflot,Russia
2011-10-19,Aeroflot Russian Airlines customer review,4,I booked a London to Tokyo flight via Moscow as it was the cheapest fare and the journey time was good. We booked vegetarian meals and confirmed these via the booking agent Opodo. However when checking in it became apparent we had no vegetarian meal. The stewards on the first leg were great and rustled up a vegetarian meal for us they were good and I started to wonder what all the bad reviews were about. However during the next leg it was obvious - the staff never smiled and were not helpful with our vegetarian request. The inflight entertainment was not great a few new movies - it was a laugh to see movies from the 70's though. The return leg was not great we didn't even bother asking about the vegetarian meal as I couldn't face the stern expression on the steward. It was not a pleasant journey. Aeroflot is much cheaper than other airline and I would recommend it as it did the trick we arrived safely. So if you are happy to forego smiling staff have a passion for old Russian films and do not want vegetarian food you will love Aeroflot!,Economy Class,1,yes,47,1,1,1,1,,,,,,,Aeroflot,Russia
2011-10-22,Aeroflot Russian Airlines customer review,8,"Peking-Munich in Business. A good experience. New A330/A 319 planes clean and good seats. New lie-flat seat on 330 wasn't really flat but perfectly fine for a daytime flight. The real surprise was the 319 which has ""proper"" business class seats even on this short three-hour flight (i.e. four seats in a row rather than the usual six seats with the middle seat kept free). Good selection of food and drinks. Plenty of IFE (about 50 movies to choose from and on-demand even on the short-haul sector). Most staff didn't speak too much English but perfectly fine to get the job done. The only letdown was Moscow airport. Yes the terminal building has been refurbished to international standards but the many uniformed people barking at you in Russian and the organisational chaos are still a nuisance. No customer service culture there. I chose Aeroflot on price and got very good value for money.",Business Class,1,yes,48,1,1,1,1,,,,,,,Aeroflot,Russia
2011-10-26,Aeroflot Russian Airlines customer review,3,SVO-LAX NYC-SVO. Both A330's interior looked run down and seats were dirty. Toilets were not cleaned during the flight. The food almost the same as I had two days before on a SVO-MUC-SVO.,Economy Class,1,no,49,1,1,1,1,,,,,,,Aeroflot,Russia
